Number of cells: 40000
tstop: 5 hours
Notes: started running the sim, failed on building recurrent connections.

----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
29-08 02:43:31|   0    0    0|  82M 2248M| 321M  125G 19.9M 94.5M
29-08 02:43:36|0.08 0.02 0.01|  15M   25k| 384M  125G 23.3M  174M
29-08 02:43:41|0.15 0.03 0.01|7462k 1682k| 452M  125G 23.9M  210M
29-08 02:43:46|0.22 0.05 0.02|   0  5734B| 455M  125G 23.9M  210M
29-08 02:43:51|0.28 0.07 0.02|   0  4096B| 457M  125G 24.0M  210M
29-08 02:43:56|0.34 0.08 0.03|   0     0 | 460M  125G 24.0M  210M
29-08 02:44:01|0.39 0.10 0.03|   0    24k| 462M  125G 24.0M  210M
29-08 02:44:06|0.44 0.11 0.04|   0  3277B| 464M  125G 24.0M  210M
29-08 02:44:11|0.49 0.13 0.04|   0  2458B| 467M  125G 24.0M  210M
29-08 02:44:16|0.53 0.14 0.05|   0  5734B| 469M  125G 24.0M  210M
29-08 02:44:21|0.57 0.16 0.05|   0  3277B| 472M  125G 24.0M  210M
29-08 02:44:26|0.60 0.17 0.06|   0  2458B| 474M  125G 24.0M  210M
29-08 02:44:31|0.63 0.18 0.06|   0  5734B| 477M  125G 24.0M  210M
29-08 02:44:36|0.66 0.20 0.07|   0  3277B| 479M  125G 24.0M  210M
29-08 02:44:41|0.69 0.21 0.08|   0  2458B| 482M  125G 24.0M  210M
29-08 02:44:46|0.72 0.22 0.08|   0  5734B| 484M  125G 24.0M  210M
29-08 02:44:51|0.74 0.24 0.09|   0  3277B| 486M  125G 24.0M  210M
29-08 02:44:56|0.76 0.25 0.09|   0  2458B| 489M  125G 24.0M  210M
29-08 02:45:01|0.78 0.26 0.10|   0  5734B| 491M  125G 24.0M  210M
29-08 02:45:06|0.80 0.28 0.10|   0  3277B| 494M  125G 24.0M  210M
29-08 02:45:11|0.81 0.29 0.11|   0  2458B| 497M  125G 24.0M  210M
29-08 02:45:16|0.83 0.30 0.11|   0  5734B| 499M  125G 24.0M  210M
29-08 02:45:21|0.84 0.31 0.12|   0  3277B| 502M  125G 24.1M  210M
29-08 02:45:26|0.86 0.32 0.12|   0     0 | 504M  125G 24.1M  210M
29-08 02:45:31|0.87 0.34 0.13|   0  3277B| 507M  125G 24.1M  210M
29-08 02:45:36|0.88 0.35 0.13|   0  3277B| 509M  125G 24.1M  210M
29-08 02:45:41|0.89 0.36 0.14|   0     0 | 512M  125G 24.1M  210M
29-08 02:45:46|0.90 0.37 0.14|   0  3277B| 514M  125G 24.1M  210M
29-08 02:45:51|0.91 0.38 0.14|   0  4096B| 517M  125G 24.1M  210M
29-08 02:45:56|0.91 0.39 0.15|   0  1638B| 519M  125G 24.1M  210M
29-08 02:46:01|0.92 0.40 0.15|   0  3277B| 522M  125G 24.1M  210M
29-08 02:46:06|0.93 0.41 0.16|   0  3277B| 524M  125G 24.1M  210M
29-08 02:46:11|0.93 0.42 0.16|   0     0 | 526M  125G 24.1M  210M
29-08 02:46:16|0.94 0.43 0.17|   0  3277B| 529M  125G 24.1M  210M
29-08 02:46:21|0.94 0.44 0.17|   0  3277B| 532M  125G 24.1M  210M
29-08 02:46:26|0.95 0.45 0.18|   0   819B| 534M  125G 24.1M  210M
29-08 02:46:31|0.95 0.46 0.18|   0  5734B| 537M  125G 24.1M  210M
29-08 02:46:36|0.96 0.47 0.19|   0  3277B| 539M  125G 24.1M  210M
29-08 02:46:41|0.96 0.48 0.19|   0  3277B| 542M  125G 24.1M  210M
29-08 02:46:46|0.96 0.49 0.20|   0     0 | 544M  125G 24.1M  210M
29-08 02:46:51|0.97 0.50 0.20|   0  3277B| 547M  125G 24.1M  210M
29-08 02:46:56|0.97 0.50 0.21|   0  3277B| 549M  125G 24.2M  210M
29-08 02:47:01|0.97 0.51 0.21|   0  1638B| 552M  125G 24.2M  210M
29-08 02:47:06|0.97 0.52 0.21|   0  4096B| 554M  125G 24.2M  210M
29-08 02:47:11|0.98 0.53 0.22|   0  3277B| 556M  125G 24.2M  210M
29-08 02:47:16|0.98 0.54 0.22|   0     0 | 558M  125G 24.2M  210M
29-08 02:47:21|0.98 0.55 0.23|   0  3277B| 560M  125G 24.2M  210M
29-08 02:47:26|0.98 0.55 0.23|   0  3277B| 562M  125G 24.2M  210M
29-08 02:47:31|0.98 0.56 0.24|   0     0 | 564M  125G 24.2M  210M
29-08 02:47:36|0.99 0.57 0.24|   0  4915B| 566M  125G 24.2M  210M
29-08 02:47:41|0.99 0.58 0.25|   0  4915B| 569M  125G 24.2M  210M
29-08 02:47:46|0.99 0.58 0.25|   0  6554B| 569M  125G 24.2M  210M
29-08 02:47:51|0.99 0.59 0.25|   0    56k| 570M  125G 24.2M  210M
29-08 02:47:56|0.99 0.60 0.26|   0  8192B| 572M  125G 24.2M  210M
29-08 02:48:01|0.99 0.60 0.26|   0  3277B| 574M  125G 24.2M  210M
29-08 02:48:06|0.99 0.61 0.27|   0     0 | 576M  125G 24.2M  210M
29-08 02:48:11|0.99 0.62 0.27|   0  3277B| 578M  125G 24.2M  210M
29-08 02:48:16|0.99 0.62 0.28|   0  3277B| 581M  125G 24.2M  210M
29-08 02:48:21|1.00 0.63 0.28|   0     0 | 583M  125G 24.2M  210M
29-08 02:48:26|1.00 0.64 0.28|   0    10k| 586M  125G 24.2M  210M
