Number of cells: 10000
tstop: 5 hours
Notes: completed.

----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
30-08 02:35:13|   0    0    0| 476M 4014M| 333M  125G 62.3M  271M
30-08 02:35:18|0.08 0.02 0.01|   0     0 | 435M  125G 62.3M  279M
30-08 02:35:23|0.15 0.03 0.01|   0    36k| 438M  125G 62.3M  279M
30-08 02:35:28|0.22 0.05 0.02|   0  3277B| 440M  125G 62.3M  279M
30-08 02:35:33|0.28 0.07 0.02|   0     0 | 443M  125G 62.3M  279M
30-08 02:35:38|0.34 0.08 0.03|   0  2458B| 446M  125G 62.3M  279M
30-08 02:35:43|0.39 0.10 0.03|   0     0 | 448M  125G 62.3M  279M
30-08 02:35:48|0.44 0.11 0.04|   0  1664k| 451M  125G 62.3M  279M
30-08 02:35:53|0.49 0.13 0.04|   0  7373B| 454M  125G 62.3M  279M
30-08 02:35:58|0.53 0.14 0.05|   0   819B| 456M  125G 62.3M  279M
30-08 02:36:03|0.57 0.16 0.05|   0  9011B| 459M  125G 62.3M  279M
30-08 02:36:08|0.60 0.17 0.06|   0     0 | 462M  125G 62.3M  279M
30-08 02:36:13|0.63 0.18 0.06|   0  2458B| 465M  125G 62.3M  279M
30-08 02:36:18|0.66 0.20 0.07|   0     0 | 467M  125G 62.3M  279M
30-08 02:36:23|0.69 0.21 0.08|   0  3277B| 470M  125G 62.3M  279M
30-08 02:36:28|0.72 0.22 0.08|   0  2458B| 473M  125G 62.3M  279M
30-08 02:36:33|0.74 0.24 0.09|   0     0 | 476M  125G 62.3M  279M
30-08 02:36:38|0.76 0.25 0.09|   0  2458B| 479M  125G 62.3M  279M
30-08 02:36:43|0.78 0.26 0.10|   0     0 | 481M  125G 62.3M  279M
30-08 02:36:48|0.80 0.28 0.10|   0  2458B| 484M  125G 62.3M  279M
30-08 02:36:53|0.81 0.29 0.11|   0     0 | 487M  125G 62.3M  279M
30-08 02:36:58|0.83 0.30 0.11|   0  3277B| 490M  125G 62.3M  279M
30-08 02:37:03|0.84 0.31 0.12|   0  2458B| 493M  125G 62.3M  279M
30-08 02:37:08|0.86 0.32 0.12|   0     0 | 495M  125G 62.3M  279M
30-08 02:37:13|0.87 0.34 0.13|   0  2458B| 498M  125G 62.3M  279M
30-08 02:37:18|0.88 0.35 0.13|   0     0 | 501M  125G 62.3M  279M
30-08 02:37:23|0.89 0.36 0.14|   0  2458B| 504M  125G 62.3M  279M
30-08 02:37:28|0.90 0.37 0.14|   0  2458B| 507M  125G 62.3M  279M
30-08 02:37:33|0.91 0.38 0.14|   0   819B| 509M  125G 62.3M  279M
30-08 02:37:38|0.91 0.39 0.15|   0  2458B| 512M  125G 62.3M  279M
30-08 02:37:43|0.92 0.40 0.15|   0     0 | 515M  125G 62.3M  279M
30-08 02:37:48|0.93 0.41 0.16|   0  2458B| 518M  125G 62.3M  279M
30-08 02:37:53|0.93 0.42 0.16|   0     0 | 520M  125G 62.3M  279M
30-08 02:37:58|0.94 0.43 0.17|   0  3277B| 523M  125G 62.3M  279M
30-08 02:38:03|0.94 0.44 0.17|   0     0 | 526M  125G 62.3M  279M
30-08 02:38:08|0.95 0.45 0.18|   0  3277B| 529M  125G 62.3M  279M
30-08 02:38:13|0.95 0.46 0.18|   0  2458B| 531M  125G 62.3M  279M
30-08 02:38:18|0.96 0.47 0.19|   0     0 | 534M  125G 62.3M  279M
30-08 02:38:23|0.96 0.48 0.19|   0  2458B| 537M  125G 62.3M  279M
30-08 02:38:28|0.96 0.49 0.20|   0     0 | 540M  125G 62.3M  279M
30-08 02:38:33|0.97 0.50 0.20|   0  2458B| 542M  125G 62.3M  279M
30-08 02:38:38|0.97 0.50 0.21|   0     0 | 545M  125G 62.3M  279M
30-08 02:38:43|0.97 0.51 0.21|   0  3277B| 548M  125G 62.3M  279M
30-08 02:38:48|0.97 0.52 0.21|   0     0 | 551M  125G 62.3M  279M
30-08 02:38:53|0.98 0.53 0.22|   0  5734B| 554M  125G 62.3M  279M
30-08 02:38:58|0.98 0.54 0.22|   0     0 | 556M  125G 62.3M  279M
30-08 02:39:03|0.98 0.55 0.23|   0  2458B| 559M  125G 62.3M  279M
30-08 02:39:08|0.98 0.55 0.23|   0     0 | 562M  125G 62.3M  279M
30-08 02:39:13|0.98 0.56 0.24|   0  4096B| 565M  125G 62.3M  279M
