#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231013   05:05:12      0     11     35      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:12      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:13      0      9     35      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:13      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:15      0      9     35      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:15      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:16      0      9     35      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:16      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:17      0      9     35      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:17      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:18      0      9     35      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:18      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:19      0      9     35      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:19      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:20      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:20      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:21      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:21      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:23      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:23      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:24      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:24      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:25      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:25      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:26      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:26      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:27      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:27      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:28      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:28      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:29      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:29      1     10     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:30      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:30      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:32      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:32      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:33      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:33      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:34      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:34      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:35      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:35      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231013   05:05:36      0      9     35      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231013   05:05:36      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
