----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
19-10 08:25:57|2.46 2.65 1.50| 303M   28G| 585M 94.0G 72.6M 30.0G
19-10 08:25:59|2.26 2.60 1.49|   0     0 | 585M 94.0G 72.6M 30.0G
19-10 08:26:01|2.26 2.60 1.49|   0     0 | 585M 94.0G 72.6M 30.0G
19-10 08:26:03|2.08 2.56 1.48|   0     0 | 585M 94.0G 72.6M 30.0G
19-10 08:26:05|2.08 2.56 1.48|   0    14k| 645M 94.0G 72.6M 30.0G
19-10 08:26:07|2.08 2.56 1.48|   0     0 | 677M 94.0G 72.6M 30.0G
19-10 08:26:09|1.91 2.52 1.47|   0     0 | 663M 94.0G 72.6M 30.0G
19-10 08:26:11|1.91 2.52 1.47|   0     0 | 663M 94.0G 72.6M 30.0G
19-10 08:26:13|1.76 2.47 1.46|   0    14k| 663M 94.0G 72.6M 30.0G
19-10 08:26:15|1.76 2.47 1.46|   0     0 | 663M 94.0G 72.6M 30.0G
19-10 08:26:17|1.76 2.47 1.46|   0     0 | 767M 93.9G 72.6M 30.0G
19-10 08:26:19|1.70 2.45 1.46|   0  4160k| 784M 93.8G 72.6M 30.0G
19-10 08:26:21|1.70 2.45 1.46|   0    52k| 795M 93.8G 72.6M 30.0G
19-10 08:26:23|1.64 2.42 1.46|   0     0 | 800M 93.8G 72.6M 30.0G
19-10 08:26:25|1.64 2.42 1.46|   0     0 | 808M 93.8G 72.6M 30.0G
19-10 08:26:27|1.64 2.42 1.46|   0  6144B| 814M 93.8G 72.6M 30.0G
19-10 08:26:29|1.59 2.40 1.45|   0     0 | 820M 93.8G 72.6M 30.0G
19-10 08:26:31|1.59 2.40 1.45|   0     0 | 828M 93.8G 72.6M 30.0G
19-10 08:26:33|1.54 2.38 1.45|   0  6144B| 833M 93.8G 72.6M 30.0G
19-10 08:26:35|1.54 2.38 1.45|   0     0 | 836M 93.8G 72.6M 30.0G
19-10 08:26:37|1.54 2.38 1.45|   0     0 | 841M 93.8G 72.6M 30.0G
19-10 08:26:39|1.50 2.35 1.45|   0  6144B| 843M 93.8G 72.6M 30.0G
19-10 08:26:41|1.50 2.35 1.45|   0     0 | 846M 93.8G 72.6M 30.0G
19-10 08:26:43|1.50 2.35 1.45|   0     0 | 849M 93.8G 72.6M 30.0G
19-10 08:26:45|1.46 2.33 1.45|   0     0 | 851M 93.8G 72.6M 30.0G
19-10 08:26:47|1.46 2.33 1.45|   0  6144B| 854M 93.8G 72.6M 30.0G
19-10 08:26:49|1.42 2.31 1.44|   0     0 | 856M 93.8G 72.6M 30.0G
19-10 08:26:51|1.42 2.31 1.44|   0    48k| 862M 93.8G 72.6M 30.0G
19-10 08:26:53|1.42 2.31 1.44|   0  6144B| 864M 93.8G 72.6M 30.0G
19-10 08:26:55|1.47 2.30 1.45|   0  6144B| 865M 93.8G 72.6M 30.0G
19-10 08:26:57|1.47 2.30 1.45|   0     0 | 867M 93.8G 72.6M 30.0G
19-10 08:26:59|1.43 2.28 1.45|   0    10k| 869M 93.8G 72.6M 30.0G
19-10 08:27:01|1.43 2.28 1.45|   0     0 | 871M 93.8G 72.6M 30.0G
19-10 08:27:03|1.43 2.28 1.45|   0     0 | 871M 93.8G 72.6M 30.0G
19-10 08:27:05|1.40 2.26 1.44|   0     0 | 871M 93.8G 72.6M 30.0G
19-10 08:27:07|1.40 2.26 1.44|   0  6144B| 872M 93.8G 72.7M 30.0G
19-10 08:27:09|1.36 2.24 1.44|   0     0 | 875M 93.8G 72.7M 30.0G
19-10 08:27:11|1.36 2.24 1.44|   0     0 | 876M 93.8G 72.7M 30.0G
19-10 08:27:13|1.36 2.24 1.44|   0  6144B|2935M 91.7G 72.7M 30.1G
19-10 08:27:15|1.33 2.22 1.44|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:17|1.33 2.22 1.44|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:19|2.91 2.53 1.54|   0  6144B|8377M 86.4G 72.7M 30.1G
19-10 08:27:21|2.91 2.53 1.54|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:23|2.91 2.53 1.54|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:25|4.28 2.82 1.64|   0  6144B|8377M 86.4G 72.7M 30.1G
19-10 08:27:27|4.28 2.82 1.64|   0  6144B|8377M 86.4G 72.7M 30.1G
19-10 08:27:29|5.54 3.11 1.74|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:31|5.54 3.11 1.74|   0    16k|8377M 86.4G 72.7M 30.1G
19-10 08:27:33|5.54 3.11 1.74|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:35|6.70 3.39 1.84|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:37|6.70 3.39 1.84|   0   170k|8377M 86.4G 72.7M 30.1G
19-10 08:27:39|7.76 3.66 1.94|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:41|7.76 3.66 1.94|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:43|7.76 3.66 1.94|   0    30k|8377M 86.4G 72.7M 30.1G
19-10 08:27:45|8.74 3.93 2.04|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:47|8.74 3.93 2.04|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:49|9.64 4.20 2.13|   0     0 |8377M 86.4G 72.7M 30.1G
19-10 08:27:51|9.64 4.20 2.13|   0  6144B|8377M 86.4G 72.8M 30.1G
19-10 08:27:53|9.64 4.20 2.13|   0     0 |8377M 86.4G 72.8M 30.1G
19-10 08:27:55|10.5 4.46 2.23|   0     0 |8377M 86.4G 72.8M 30.1G
19-10 08:27:57|10.5 4.46 2.23|   0  6144B|8377M 86.4G 72.8M 30.1G
19-10 08:27:59|11.2 4.72 2.32|   0     0 |8377M 86.4G 72.8M 30.1G
19-10 08:28:01|11.2 4.72 2.32|   0     0 |8377M 86.4G 72.8M 30.1G
19-10 08:28:03|11.2 4.72 2.32|   0    60k|8377M 86.4G 72.8M 30.1G
19-10 08:28:05|11.9 4.98 2.42|   0     0 |8377M 86.4G 72.8M 30.1G
19-10 08:28:07|11.9 4.98 2.42|   0     0 |8377M 86.4G 72.8M 30.1G
19-10 08:28:09|12.6 5.22 2.51|   0     0 |8377M 86.4G 72.8M 30.1G
19-10 08:28:11|12.6 5.22 2.51|   0  6144B|8377M 86.4G 72.8M 30.1G
19-10 08:28:13|12.6 5.22 2.51|   0  6144B|8377M 86.4G 72.8M 30.1G
19-10 08:28:15|13.2 5.47 2.61|   0     0 |8377M 86.4G 72.8M 30.1G
