#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231019   08:26:08      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:08      1     26     44      -      7      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:09      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:09      1     25     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:10      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:10      1     25     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:11      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:11      1     25     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:12      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:12      1     25     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:13      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:13      1     25     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:15      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:15      1     25     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:16      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:26:16      1     25     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0     14      0 
 20231019   08:26:17      0      9     44      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:26:17      1     25     45      -      0      0      0      0      0      0   5000    585      0      0      5      3      0      0      0      0      0 
 20231019   08:26:18      0      9     43      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:26:18      1     25     45      -      0      0      0      0      0      0   5000    585      0      0      5      3      0      0      0      0      0 
 20231019   08:26:19      0      9     43      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:26:19      1      9     44      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:26:20      0      9     43      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
