----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
12-10 20:51:12|   0 0.07 0.11|2680M   10G| 759M  112G 98.7M 13.0G
12-10 20:51:14|   0 0.07 0.11|   0     0 | 759M  112G 98.7M 13.0G
12-10 20:51:16|   0 0.07 0.11|   0     0 | 759M  112G 98.7M 13.0G
12-10 20:51:18|   0 0.07 0.11|   0    20k| 759M  112G 98.7M 13.0G
12-10 20:51:20|   0 0.07 0.11|   0     0 | 759M  112G 98.7M 13.0G
12-10 20:51:22|   0 0.06 0.11|   0     0 | 771M  112G 98.7M 13.0G
12-10 20:51:24|   0 0.06 0.11|   0    20k| 771M  112G 98.7M 13.0G
12-10 20:51:26|   0 0.06 0.11|   0     0 | 771M  112G 98.7M 13.0G
12-10 20:51:28|   0 0.06 0.11|   0     0 | 771M  112G 98.7M 13.0G
12-10 20:51:30|   0 0.06 0.11|   0    16k| 771M  112G 98.7M 13.0G
12-10 20:51:32|   0 0.06 0.11|   0     0 | 771M  112G 98.7M 13.0G
12-10 20:51:34|   0 0.06 0.11|   0     0 | 771M  112G 98.7M 13.0G
12-10 20:51:36|   0 0.06 0.11|   0    16k| 771M  112G 98.7M 13.0G
12-10 20:51:38|   0 0.06 0.11|   0     0 | 771M  112G 98.7M 13.0G
12-10 20:51:40|   0 0.06 0.11|   0     0 | 771M  112G 98.7M 13.0G
12-10 20:51:42|   0 0.06 0.11|   0    14k| 771M  112G 98.8M 13.0G
12-10 20:51:44|   0 0.06 0.11|   0     0 | 771M  112G 98.8M 13.0G
12-10 20:51:46|   0 0.06 0.11|   0     0 | 771M  112G 98.8M 13.0G
12-10 20:51:48|   0 0.06 0.11|   0    10k| 771M  112G 98.8M 13.0G
12-10 20:51:50|   0 0.06 0.11|   0   206k| 924M  111G 98.8M 13.0G
12-10 20:51:52|0.08 0.07 0.11|2048B   74k| 967M  111G 98.8M 13.0G
12-10 20:51:54|0.08 0.07 0.11|   0   180k| 968M  111G 98.9M 13.0G
12-10 20:51:56|0.15 0.09 0.12|   0     0 | 971M  111G 98.9M 13.0G
12-10 20:51:58|0.15 0.09 0.12|   0    66k| 972M  111G 98.9M 13.0G
12-10 20:52:00|0.15 0.09 0.12|   0    30k| 976M  111G 98.9M 13.0G
12-10 20:52:02|0.22 0.10 0.12|   0     0 | 977M  111G 98.9M 13.0G
12-10 20:52:04|0.22 0.10 0.12|   0    22k| 977M  111G 98.9M 13.0G
12-10 20:52:06|0.29 0.12 0.13|   0    12k| 978M  111G 98.9M 13.0G
12-10 20:52:08|0.29 0.12 0.13|   0     0 | 980M  111G 98.9M 13.0G
12-10 20:52:10|0.29 0.12 0.13|   0  8192B| 981M  111G 98.9M 13.0G
12-10 20:52:12|0.34 0.13 0.13|   0  6144B| 982M  111G 98.9M 13.0G
12-10 20:52:14|0.34 0.13 0.13|   0     0 | 984M  111G 98.9M 13.0G
12-10 20:52:16|0.40 0.15 0.14|   0  4096B| 985M  111G 98.9M 13.0G
12-10 20:52:18|0.40 0.15 0.14|   0    12k| 987M  111G 98.9M 13.0G
12-10 20:52:20|0.40 0.15 0.14|   0     0 | 988M  111G 98.9M 13.0G
12-10 20:52:22|0.44 0.16 0.14|   0  8192B| 990M  111G 98.9M 13.0G
12-10 20:52:24|0.44 0.16 0.14|   0  6144B| 991M  111G 98.9M 13.0G
12-10 20:52:26|0.49 0.18 0.15|   0     0 | 993M  111G 98.9M 13.0G
12-10 20:52:28|0.49 0.18 0.15|   0  4096B| 995M  111G 98.9M 13.0G
12-10 20:52:30|0.49 0.18 0.15|   0    12k| 996M  111G 98.9M 13.0G
12-10 20:52:32|0.53 0.19 0.15|   0     0 | 997M  111G 98.9M 13.0G
12-10 20:52:34|0.53 0.19 0.15|   0   106k| 776M  112G 98.9M 13.0G
12-10 20:52:36|0.49 0.19 0.15|   0     0 | 776M  112G 98.9M 13.0G
12-10 20:52:38|0.49 0.19 0.15|   0     0 | 772M  112G 98.9M 13.0G
12-10 20:52:40|0.49 0.19 0.15|   0   202k| 772M  112G 98.9M 13.0G
12-10 20:52:42|0.45 0.18 0.15|   0     0 | 772M  112G 98.9M 13.0G
