#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231012   20:51:22      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:22      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:23      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:23      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:24      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:24      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:25      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:25      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:26      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:26      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:27      0      8     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:27      1     10     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:29      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:29      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:30      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:30      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:31      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:31      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:32      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:32      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:33      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:33      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:34      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:34      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:35      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:35      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:37      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:37      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:38      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:38      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:39      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:39      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:40      0      8     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:40      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:41      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:41      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:42      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:42      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:43      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:43      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:45      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:45      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:46      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:46      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231012   20:51:47      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:47      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:48      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:48      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:49      0      9     34      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:49      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:51:50      0     26     35      -      0      0      0      0      0      0   5000    615      0      0     19      5      0      0      0     15     18 
 20231012   20:51:50      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:51      0     59     37      -     74     31      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     18 
 20231012   20:51:51      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:53      0     60     38      -     74     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     62     18 
 20231012   20:51:53      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:54      0     59     39      -     74     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     60     17 
 20231012   20:51:54      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:55      0     59     39      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     15 
 20231012   20:51:55      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:56      0     60     40      -     74     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     57     17 
 20231012   20:51:56      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:57      0     61     41      -     74     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     17 
 20231012   20:51:57      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:58      0     60     41      -     74     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     17 
 20231012   20:51:58      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:51:59      0     59     42      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     58     17 
 20231012   20:51:59      1     10     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:00      0     62     42      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     61     17 
 20231012   20:52:00      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:02      0     59     43      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     17 
 20231012   20:52:02      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:03      0     60     43      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     56     17 
 20231012   20:52:03      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:04      0     60     43      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     15 
 20231012   20:52:04      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:05      0     62     44      -     75     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     60     16 
 20231012   20:52:05      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:06      0     61     44      -     75     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     57     17 
 20231012   20:52:06      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:07      0     61     45      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     16 
 20231012   20:52:07      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:08      0     61     45      -     75     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     14 
 20231012   20:52:08      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:09      0     61     46      -     75     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     17 
 20231012   20:52:09      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:52:11      0     61     46      -     76     29      0      0      0      0   5000   1590      0      0    129      5      0      0      0     60     17 
 20231012   20:52:11      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
