#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231019   06:04:46      0     26     48      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   06:04:46      1     26     49      -      7      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   06:04:47      0     27     48      -      0      0      0      0      0      0   5000    585      0      0     14      5      0      0      0      8      9 
 20231019   06:04:47      1     26     50      -      0      0      0      0      0      0   5000    585      0      0     14      5      0      0      0     14     72 
 20231019   06:04:48      0     41     48      -     64      5      0      0      0      0   5000   1485      0      0    120      5      0      0      0     59     15 
 20231019   06:04:48      1     38     50      -     58      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     60     17 
 20231019   06:04:49      0     45     49      -     59      8      0      0      0      0   5000   1590      0      0    120      5      0      0      0     68     17 
 20231019   06:04:49      1     45     51      -     59      8      0      0      0      0   5000   1590      0      0    120      5      0      0      0     68     17 
 20231019   06:04:50      0     46     49      -     59      8      0      0      0      0   5000   1590      0      0    120      5      0      0      0     67     17 
 20231019   06:04:50      1     45     51      -     59      8      0      0      0      0   5000   1590      0      0    120      5      0      0      0     67     17 
 20231019   06:04:52      0     47     50      -     59      8      0      0      0      0   5000   1590      0      0    120      5      0      0      0     67     16 
 20231019   06:04:52      1     46     51      -     58      8      0      0      0      0   5000   1590      0      0    120      5      0      0      0     67     16 
 20231019   06:04:53      0     46     50      -     59      8      0      0      0      0   5000   1590      0      0    120      5      0      0      0     68     17 
 20231019   06:04:53      1     46     52      -     59      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     67     17 
 20231019   06:04:54      0     47     50      -     60      8      0      0      0      0   5000   1590      0      0    120      5      0      0      0     66     16 
 20231019   06:04:54      1     45     52      -     59      8      0      0      0      0   5000   1590      0      0    120      5      0      0      0     65     16 
 20231019   06:04:55      0     46     50      -     59      8      0      0      0      0   5000   1590      0      0    120      5      0      0      0     66     17 
 20231019   06:04:55      1     45     52      -     58      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     66     17 
 20231019   06:04:56      0     46     51      -     59      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     66     17 
 20231019   06:04:56      1     46     52      -     59      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     66     17 
 20231019   06:04:57      0     47     51      -     59      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     67     17 
 20231019   06:04:57      1     45     53      -     59      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     67     17 
 20231019   06:04:58      0     45     51      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     62     17 
 20231019   06:04:58      1     46     53      -     59      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     61     16 
 20231019   06:04:59      0     47     51      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     67     17 
 20231019   06:04:59      1     46     53      -     59      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     66     17 
 20231019   06:05:00      0     46     51      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     66     17 
 20231019   06:05:00      1     45     53      -     59      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     62     16 
 20231019   06:05:02      0     46     52      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     66     17 
 20231019   06:05:02      1     46     54      -     59      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     65     17 
 20231019   06:05:03      0     46     52      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     65     17 
 20231019   06:05:03      1     45     54      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     63     17 
 20231019   06:05:04      0     46     52      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     62     16 
 20231019   06:05:04      1     47     54      -     59      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     61     16 
 20231019   06:05:05      0     46     52      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     64     15 
 20231019   06:05:05      1     46     54      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     65     17 
 20231019   06:05:06      0     47     52      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     65     17 
 20231019   06:05:06      1     46     54      -     59      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     64     17 
 20231019   06:05:07      0     46     53      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     64     17 
 20231019   06:05:07      1     47     54      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     63     17 
 20231019   06:05:08      0     46     53      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     64     15 
 20231019   06:05:08      1     46     55      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     65     16 
 20231019   06:05:09      0     48     53      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     65     17 
 20231019   06:05:09      1     46     55      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     64     17 
#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231019   06:05:10      0     46     53      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     65     17 
 20231019   06:05:10      1     46     55      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     65     17 
 20231019   06:05:12      0     46     53      -     61      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     62     16 
 20231019   06:05:12      1     46     55      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     63     16 
 20231019   06:05:13      0     46     53      -     61      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     60     16 
 20231019   06:05:13      1     45     55      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     64     16 
 20231019   06:05:14      0     47     54      -     61      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     65     17 
 20231019   06:05:14      1     45     55      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     65     15 
 20231019   06:05:15      0     47     54      -     61      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     63     16 
 20231019   06:05:15      1     46     55      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     61     16 
 20231019   06:05:16      0     46     54      -     61      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     64     16 
 20231019   06:05:16      1     48     56      -     60      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     64     17 
 20231019   06:05:17      0     46     54      -     61      7      0      0      0      0   5000   1590      0      0    120      5      0      0      0     63     16 
