----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
12-10 23:31:02|0.76 6.45 10.4|2687M   11G| 766M  111G  109M 13.1G
12-10 23:31:04|0.70 6.35 10.3|   0     0 | 765M  111G  109M 13.1G
12-10 23:31:06|0.70 6.35 10.3|   0     0 | 765M  111G  109M 13.1G
12-10 23:31:08|0.64 6.24 10.3|   0    12k| 765M  111G  109M 13.1G
12-10 23:31:10|0.64 6.24 10.3|   0     0 | 777M  111G  109M 13.1G
12-10 23:31:12|0.64 6.24 10.3|   0     0 | 777M  111G  109M 13.1G
12-10 23:31:14|0.59 6.14 10.2|   0    14k| 777M  111G  109M 13.1G
12-10 23:31:16|0.59 6.14 10.2|   0     0 | 777M  111G  109M 13.1G
12-10 23:31:18|0.54 6.04 10.2|   0     0 | 778M  111G  109M 13.1G
12-10 23:31:20|0.54 6.04 10.2|   0    38k| 931M  111G  109M 13.1G
12-10 23:31:22|0.54 6.04 10.2|   0     0 | 931M  111G  109M 13.1G
12-10 23:31:24|0.58 5.95 10.1|   0  4194k| 931M  111G  109M 13.1G
12-10 23:31:26|0.58 5.95 10.1|   0    20k| 931M  111G  109M 13.1G
12-10 23:31:28|0.61 5.87 10.1|   0     0 | 931M  111G  109M 13.1G
12-10 23:31:30|0.61 5.87 10.1|   0     0 | 931M  111G  109M 13.1G
12-10 23:31:32|0.61 5.87 10.1|   0  6144B|1100M  111G  109M 13.1G
12-10 23:31:34|1.36 5.94 10.1|   0     0 |1100M  111G  109M 13.1G
12-10 23:31:36|1.36 5.94 10.1|   0     0 |1100M  111G  109M 13.1G
12-10 23:31:38|2.86 6.17 10.1|   0  8192B|1100M  111G  109M 13.1G
12-10 23:31:40|2.86 6.17 10.1|   0     0 |1100M  111G  109M 13.1G
12-10 23:31:42|2.86 6.17 10.1|   0     0 |1100M  111G  109M 13.1G
12-10 23:31:44|3.99 6.35 10.2|   0  6144B|1100M  111G  109M 13.1G
12-10 23:31:46|3.99 6.35 10.2|   0     0 |1100M  111G  109M 13.1G
12-10 23:31:48|3.99 6.31 10.1|   0     0 |1100M  111G  109M 13.1G
12-10 23:31:50|3.99 6.31 10.1|   0   114k|1100M  111G  109M 13.1G
