Number of cells: 60000
tstop: 5 hours
Notes: failed on building network, didn't start running sim.

----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
28-08 17:04:29|   0 0.05 0.08|  60M 1219M| 308M  123G  105M 2144M
28-08 17:04:34|0.08 0.07 0.08|   0  1663k| 458M  123G  105M 2152M
28-08 17:04:39|0.15 0.09 0.09|   0    21k| 461M  123G  105M 2152M
28-08 17:04:44|0.22 0.10 0.09|   0  3277B| 463M  123G  105M 2152M
28-08 17:04:49|0.28 0.12 0.10|   0    21k| 466M  123G  105M 2152M
28-08 17:04:54|0.34 0.13 0.10|   0  2458B| 468M  123G  105M 2152M
28-08 17:04:59|0.39 0.15 0.11|   0     0 | 470M  123G  105M 2152M
28-08 17:05:04|0.44 0.16 0.11|   0  2458B| 473M  123G  105M 2152M
28-08 17:05:09|0.49 0.18 0.12|   0     0 | 475M  123G  105M 2152M
28-08 17:05:14|0.53 0.19 0.12|   0  3277B| 478M  123G  105M 2152M
28-08 17:05:19|0.57 0.20 0.13|   0    48k| 480M  123G  105M 2152M
28-08 17:05:24|0.60 0.22 0.13|   0  9830B| 482M  123G  105M 2152M
28-08 17:05:29|0.63 0.23 0.14|   0  2458B| 484M  123G  105M 2152M
28-08 17:05:34|0.66 0.24 0.14|   0     0 | 487M  123G  105M 2152M
28-08 17:05:39|0.69 0.26 0.15|   0  2458B| 489M  123G  105M 2152M
28-08 17:05:44|0.72 0.27 0.15|   0  1638B| 491M  123G  105M 2152M
28-08 17:05:49|0.74 0.28 0.16|   0    74k| 494M  123G  105M 2152M
28-08 17:05:54|0.76 0.29 0.16|   0  4096B| 496M  123G  105M 2152M
28-08 17:05:59|0.78 0.31 0.16|   0    12k| 498M  123G  105M 2152M
28-08 17:06:04|0.80 0.32 0.17|   0  2458B| 501M  123G  105M 2152M
28-08 17:06:09|0.81 0.33 0.17|   0     0 | 503M  123G  105M 2152M
28-08 17:06:14|0.83 0.34 0.18|   0  2458B| 505M  123G  105M 2152M
28-08 17:06:19|0.84 0.35 0.18|   0     0 | 507M  123G  105M 2152M
28-08 17:06:24|0.86 0.36 0.19|   0    22k| 510M  123G  105M 2152M
28-08 17:06:29|0.87 0.37 0.19|   0  2458B| 512M  123G  105M 2152M
28-08 17:06:34|0.88 0.38 0.20|   0   819B| 514M  123G  105M 2152M
28-08 17:06:39|0.89 0.39 0.20|   0  2458B| 517M  123G  105M 2152M
28-08 17:06:44|0.90 0.40 0.21|   0     0 | 519M  123G  105M 2152M
28-08 17:06:49|0.91 0.41 0.21|   0  2458B| 521M  123G  105M 2152M
28-08 17:06:54|0.91 0.42 0.22|   0     0 | 524M  123G  105M 2152M
28-08 17:06:59|0.92 0.43 0.22|   0  2458B| 526M  123G  105M 2152M
28-08 17:07:04|0.93 0.44 0.22|   0     0 | 528M  123G  105M 2152M
28-08 17:07:09|0.93 0.45 0.23|   0  4096B| 531M  123G  105M 2152M
28-08 17:07:14|0.94 0.46 0.23|   0  2458B| 533M  123G  105M 2152M
28-08 17:07:19|0.94 0.47 0.24|   0     0 | 536M  123G  105M 2152M
28-08 17:07:24|0.95 0.48 0.24|   0  2458B| 538M  123G  105M 2152M
28-08 17:07:29|0.95 0.49 0.25|   0     0 | 540M  123G  105M 2152M
28-08 17:07:34|0.96 0.50 0.25|   0  2458B| 542M  123G  105M 2152M
28-08 17:07:39|0.96 0.51 0.25|   0     0 | 545M  123G  105M 2152M
28-08 17:07:44|0.96 0.52 0.26|   0  3277B| 547M  123G  105M 2152M
28-08 17:07:49|0.97 0.52 0.26|   0  2458B| 550M  123G  105M 2152M
28-08 17:07:54|0.97 0.53 0.27|   0     0 | 552M  123G  105M 2152M
28-08 17:07:59|0.97 0.54 0.27|   0  2458B| 555M  123G  105M 2152M
28-08 17:08:04|0.97 0.55 0.28|   0     0 | 557M  123G  105M 2152M
28-08 17:08:09|0.98 0.56 0.28|   0  2458B| 559M  123G  105M 2152M
28-08 17:08:14|0.98 0.56 0.28|   0     0 | 562M  123G  105M 2152M
28-08 17:08:19|0.98 0.57 0.29|   0  4096B| 564M  123G  105M 2152M
28-08 17:08:24|0.98 0.58 0.29|   0  2458B| 567M  123G  105M 2152M
28-08 17:08:29|0.98 0.59 0.30|   0     0 | 569M  123G  105M 2152M
28-08 17:08:34|0.99 0.59 0.30|   0  2458B| 572M  123G  105M 2152M
28-08 17:08:39|0.99 0.60 0.30|   0     0 | 574M  123G  105M 2152M
28-08 17:08:44|0.99 0.61 0.31|   0  2458B| 577M  123G  105M 2152M
28-08 17:08:49|0.99 0.61 0.31|   0     0 | 579M  123G  105M 2152M
28-08 17:08:54|0.99 0.62 0.32|   0  6554B| 582M  123G  105M 2152M
28-08 17:08:59|0.99 0.63 0.32|   0   819B| 584M  123G  105M 2152M
28-08 17:09:04|0.99 0.63 0.32|   0  2458B| 586M  123G  105M 2152M
28-08 17:09:09|0.99 0.64 0.33|   0     0 | 589M  123G  105M 2152M
28-08 17:09:14|0.99 0.65 0.33|   0  2458B| 591M  123G  105M 2152M
28-08 17:09:19|1.00 0.65 0.34|   0     0 | 594M  123G  105M 2152M
28-08 17:09:24|1.00 0.66 0.34|   0  2458B| 596M  123G  105M 2152M
28-08 17:09:29|1.00 0.66 0.34|   0   819B| 599M  123G  105M 2152M
28-08 17:09:34|1.00 0.67 0.35|   0  3277B| 601M  123G  105M 2152M
28-08 17:09:39|1.00 0.68 0.35|   0     0 | 603M  123G  105M 2152M
28-08 17:09:44|1.00 0.68 0.35|   0  2458B| 606M  123G  105M 2152M
28-08 17:09:49|1.00 0.69 0.36|   0     0 | 608M  123G  105M 2152M
28-08 17:09:54|1.00 0.69 0.36|   0  2458B| 611M  123G  105M 2152M
28-08 17:09:59|1.00 0.70 0.37|   0     0 | 613M  123G  105M 2152M
28-08 17:10:04|1.00 0.70 0.37|   0  4096B| 616M  123G  105M 2152M
28-08 17:10:09|1.00 0.71 0.37|   0  4096B| 618M  123G  105M 2152M
28-08 17:10:14|1.00 0.71 0.38|   0  1638B| 621M  123G  105M 2152M
28-08 17:10:19|1.00 0.72 0.38|   0  2458B| 623M  123G  105M 2152M
28-08 17:10:24|1.00 0.72 0.38|   0     0 | 626M  123G  105M 2152M
28-08 17:10:29|1.00 0.73 0.39|   0  2458B| 628M  123G  105M 2152M
28-08 17:10:34|1.00 0.73 0.39|   0     0 | 630M  123G  105M 2152M
28-08 17:10:39|1.00 0.74 0.39|   0  3277B| 633M  123G  105M 2152M
28-08 17:10:44|1.00 0.74 0.40|   0  2458B| 635M  123G  105M 2152M
28-08 17:10:49|1.00 0.75 0.40|   0   113k| 638M  123G  105M 2152M
28-08 17:10:54|1.00 0.75 0.40|   0     0 | 640M  123G  105M 2152M
