Number of cells: 20000
tstop: 5 hours
Notes: started running the sim, failed on building recurrent connections.

----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
29-08 16:21:55|   0    0    0| 391M 3675M| 347M  125G 72.5M  776M
29-08 16:22:00|   0    0    0|  14M 9011B| 409M  124G 76.2M  851M
29-08 16:22:05|0.08 0.02 0.01|8390k 1682k| 463M  124G 76.9M  891M
29-08 16:22:10|0.15 0.03 0.01|   0     0 | 465M  124G 76.9M  891M
29-08 16:22:15|0.22 0.05 0.02|   0    22k| 468M  124G 76.9M  891M
29-08 16:22:20|0.28 0.07 0.02|   0  2458B| 470M  124G 76.9M  891M
29-08 16:22:25|0.34 0.08 0.03|   0   819B| 473M  124G 76.9M  891M
29-08 16:22:30|0.39 0.10 0.03|   0  2458B| 476M  124G 76.9M  891M
29-08 16:22:35|0.44 0.11 0.04|   0   819B| 479M  124G 76.9M  891M
29-08 16:22:40|0.49 0.13 0.04|   0  2458B| 481M  124G 76.9M  891M
29-08 16:22:45|0.53 0.14 0.05|   0   819B| 484M  124G 76.9M  891M
29-08 16:22:50|0.57 0.16 0.05|   0  2458B| 486M  124G 76.9M  891M
29-08 16:22:55|0.60 0.17 0.06|   0   819B| 487M  124G 76.9M  891M
29-08 16:23:00|0.63 0.18 0.06|   0  2458B| 490M  124G 76.9M  891M
29-08 16:23:05|0.66 0.20 0.07|   0   819B| 493M  124G 76.9M  891M
29-08 16:23:10|0.69 0.21 0.08|   0  2458B| 495M  124G 76.9M  891M
29-08 16:23:15|0.72 0.22 0.08|   0   819B| 498M  124G 76.9M  891M
29-08 16:23:20|0.74 0.24 0.09|   0  2458B| 501M  124G 76.9M  891M
29-08 16:23:25|0.76 0.25 0.09|   0   819B| 503M  124G 76.9M  891M
29-08 16:23:30|0.78 0.26 0.10|   0  2458B| 506M  124G 76.9M  891M
29-08 16:23:35|0.80 0.28 0.10|   0   819B| 509M  124G 76.9M  891M
29-08 16:23:40|0.81 0.29 0.11|   0  2458B| 511M  124G 77.0M  891M
29-08 16:23:45|0.83 0.30 0.11|   0   819B| 514M  124G 77.0M  891M
29-08 16:23:50|0.84 0.31 0.12|   0  2458B| 517M  124G 77.0M  891M
29-08 16:23:55|0.86 0.32 0.12|   0   819B| 519M  124G 77.0M  891M
29-08 16:24:00|0.87 0.34 0.13|   0  2458B| 522M  124G 77.0M  891M
29-08 16:24:05|0.88 0.35 0.13|   0   819B| 525M  124G 77.0M  891M
29-08 16:24:10|0.89 0.36 0.14|   0  2458B| 527M  124G 77.0M  891M
29-08 16:24:15|0.90 0.37 0.14|   0   819B| 530M  124G 77.0M  891M
29-08 16:24:20|0.91 0.38 0.14|   0  2458B| 533M  124G 77.0M  891M
29-08 16:24:25|0.91 0.39 0.15|   0   819B| 536M  124G 77.0M  891M
29-08 16:24:30|0.92 0.40 0.15|   0  2458B| 538M  124G 77.0M  891M
29-08 16:24:35|0.93 0.41 0.16|   0   819B| 541M  124G 77.0M  891M
29-08 16:24:40|0.93 0.42 0.16|   0  2458B| 544M  124G 77.0M  891M
29-08 16:24:45|0.94 0.43 0.17|   0   819B| 546M  124G 77.0M  891M
29-08 16:24:50|0.94 0.44 0.17|   0  2458B| 549M  124G 77.0M  891M
29-08 16:24:55|0.95 0.45 0.18|   0   819B| 552M  124G 77.0M  891M
29-08 16:25:00|0.95 0.46 0.18|   0  2458B| 554M  124G 77.0M  891M
29-08 16:25:05|0.96 0.47 0.19|   0   819B| 557M  124G 77.0M  891M
29-08 16:25:10|0.96 0.48 0.19|   0  2458B| 560M  124G 77.0M  891M
29-08 16:25:15|0.96 0.49 0.20|   0   819B| 562M  124G 77.0M  891M
29-08 16:25:20|0.97 0.50 0.20|   0  2458B| 565M  124G 77.0M  891M
29-08 16:25:25|0.97 0.50 0.21|   0   819B| 568M  124G 77.0M  891M
29-08 16:25:30|0.97 0.51 0.21|   0  2458B| 571M  124G 77.0M  891M
29-08 16:25:35|0.97 0.52 0.21|   0   819B| 574M  124G 77.0M  891M
29-08 16:25:40|0.98 0.53 0.22|   0  2458B| 576M  124G 77.0M  891M
29-08 16:25:45|0.98 0.54 0.22|   0   819B| 579M  124G 77.0M  891M
29-08 16:25:50|0.98 0.55 0.23|   0  2458B| 582M  124G 77.0M  891M
29-08 16:25:55|0.98 0.55 0.23|   0  4915B| 584M  124G 77.0M  891M
29-08 16:26:00|0.98 0.56 0.24|   0  1638B| 587M  124G 77.0M  891M
29-08 16:26:05|0.99 0.57 0.24|   0  2458B| 589M  124G 77.0M  891M
29-08 16:26:10|0.99 0.58 0.25|   0   819B| 592M  124G 77.0M  891M
29-08 16:26:15|0.99 0.58 0.25|   0  2458B| 595M  124G 77.0M  891M
29-08 16:26:20|0.99 0.59 0.25|   0   819B| 598M  124G 77.0M  891M
29-08 16:26:25|0.99 0.60 0.26|   0  2458B| 600M  124G 77.0M  891M
29-08 16:26:30|0.99 0.60 0.26|   0   819B| 603M  124G 77.0M  891M
29-08 16:26:35|0.99 0.61 0.27|   0  2458B| 606M  124G 77.0M  891M
29-08 16:26:40|0.99 0.62 0.27|   0   819B| 608M  124G 77.0M  891M
29-08 16:26:45|0.99 0.62 0.28|   0  2458B| 611M  124G 77.0M  891M
29-08 16:26:50|1.00 0.63 0.28|   0   819B| 614M  124G 77.0M  891M
29-08 16:26:55|1.00 0.64 0.28|   0  2458B| 617M  124G 77.0M  891M
29-08 16:27:00|1.00 0.64 0.29|   0  1638B| 619M  124G 77.0M  891M
29-08 16:27:05|1.00 0.65 0.29|   0  4096B| 622M  124G 77.0M  891M
29-08 16:27:10|1.00 0.66 0.30|   0  2458B| 625M  124G 77.0M  891M
29-08 16:27:15|1.00 0.66 0.30|   0  2458B| 627M  124G 77.0M  891M
29-08 16:27:20|1.00 0.67 0.30|   0   819B| 630M  124G 77.0M  891M
29-08 16:27:25|1.00 0.67 0.31|   0  2458B| 632M  124G 77.0M  891M
29-08 16:27:30|1.00 0.68 0.31|   0   819B| 635M  124G 77.0M  891M
29-08 16:27:35|1.00 0.68 0.32|   0  2458B| 638M  124G 77.0M  891M
29-08 16:27:40|1.00 0.69 0.32|   0   819B| 641M  124G 77.0M  891M
29-08 16:27:45|1.00 0.69 0.32|   0  2458B| 643M  124G 77.0M  891M
29-08 16:27:50|1.00 0.70 0.33|   0  4096B| 646M  124G 77.0M  891M
29-08 16:27:55|1.00 0.71 0.33|   0  2458B| 649M  124G 77.0M  891M
29-08 16:28:00|1.00 0.71 0.33|   0   819B| 651M  124G 77.0M  891M
29-08 16:28:05|1.00 0.72 0.34|   0  2458B| 654M  124G 77.1M  891M
29-08 16:28:10|1.00 0.72 0.34|   0   819B| 657M  124G 77.1M  891M
29-08 16:28:15|1.00 0.73 0.35|   0  2458B| 659M  124G 77.1M  891M
29-08 16:28:20|1.00 0.73 0.35|   0   819B| 662M  124G 77.1M  891M
29-08 16:28:25|1.00 0.74 0.35|   0  2458B| 665M  124G 77.1M  891M
29-08 16:28:30|1.00 0.74 0.36|   0   819B| 667M  124G 77.1M  891M
29-08 16:28:35|1.00 0.74 0.36|   0  2458B| 670M  124G 77.1M  891M
29-08 16:28:40|1.00 0.75 0.37|   0   819B| 673M  124G 77.1M  891M
29-08 16:28:45|1.00 0.75 0.37|   0  2458B| 675M  124G 77.1M  891M
29-08 16:28:50|1.00 0.76 0.37|   0   819B| 678M  124G 77.1M  891M
29-08 16:28:55|1.00 0.76 0.38|   0  2458B| 681M  124G 77.1M  891M
29-08 16:29:00|1.00 0.77 0.38|   0   819B| 683M  124G 77.1M  891M
29-08 16:29:05|1.00 0.77 0.38|   0  2458B| 686M  124G 77.1M  891M
29-08 16:29:10|1.00 0.77 0.39|   0   819B| 689M  124G 77.1M  891M
29-08 16:29:15|1.00 0.78 0.39|   0  2458B| 692M  124G 77.1M  891M
29-08 16:29:20|1.00 0.78 0.39|   0   819B| 694M  124G 77.1M  891M
29-08 16:29:25|1.00 0.79 0.40|   0  2458B| 697M  124G 77.1M  891M
29-08 16:29:30|1.00 0.79 0.40|   0   819B| 700M  124G 77.1M  891M
29-08 16:29:35|1.00 0.79 0.40|   0  2458B| 702M  124G 77.1M  891M
29-08 16:29:40|1.00 0.80 0.41|   0   819B| 705M  124G 77.1M  891M
29-08 16:29:45|1.00 0.80 0.41|   0  2458B| 708M  124G 77.1M  891M
29-08 16:29:50|1.00 0.80 0.41|   0   819B| 710M  124G 77.1M  891M
29-08 16:29:55|1.00 0.81 0.42|   0  2458B| 713M  124G 77.1M  891M
29-08 16:30:00|1.00 0.81 0.42|   0   819B| 716M  124G 77.1M  891M
29-08 16:30:05|1.00 0.81 0.42|   0  2458B| 717M  124G 77.1M  891M
29-08 16:30:10|1.00 0.82 0.43|   0   819B| 720M  124G 77.1M  891M
29-08 16:30:15|1.00 0.82 0.43|   0  2458B| 723M  124G 77.1M  891M
29-08 16:30:20|1.00 0.82 0.43|   0   819B| 725M  124G 77.1M  891M
29-08 16:30:25|1.00 0.83 0.44|   0  2458B| 728M  124G 77.1M  891M
29-08 16:30:30|1.00 0.83 0.44|   0   819B| 731M  124G 77.1M  891M
29-08 16:30:35|1.00 0.83 0.44|   0  2458B| 733M  124G 77.1M  891M
29-08 16:30:40|1.00 0.84 0.45|   0   819B| 736M  124G 77.1M  891M
29-08 16:30:45|1.00 0.84 0.45|   0  2458B| 738M  124G 77.1M  891M
29-08 16:30:50|1.00 0.84 0.45|   0   819B| 741M  124G 77.1M  891M
29-08 16:30:55|1.00 0.85 0.46|   0  2458B| 744M  124G 77.1M  891M
29-08 16:31:00|1.00 0.85 0.46|   0   819B| 747M  124G 77.1M  891M
29-08 16:31:05|1.00 0.85 0.46|   0  2458B| 749M  124G 77.1M  891M
29-08 16:31:10|1.00 0.85 0.47|   0   819B| 752M  124G 77.1M  891M
29-08 16:31:15|1.00 0.86 0.47|   0  2458B| 755M  124G 77.1M  891M
29-08 16:31:20|1.00 0.86 0.47|   0   819B| 757M  124G 77.1M  891M
29-08 16:31:25|1.00 0.86 0.48|   0  2458B| 760M  124G 77.1M  891M
29-08 16:31:30|1.00 0.86 0.48|   0   819B| 763M  124G 77.1M  891M
29-08 16:31:35|1.00 0.87 0.48|   0  2458B| 765M  124G 77.1M  891M
29-08 16:31:40|1.00 0.87 0.48|   0   819B| 768M  124G 77.1M  891M
29-08 16:31:45|1.00 0.87 0.49|   0  2458B| 771M  124G 77.1M  891M
29-08 16:31:50|1.00 0.87 0.49|   0   819B| 773M  124G 77.1M  891M
29-08 16:31:55|1.00 0.88 0.49|   0  2458B| 776M  124G 77.1M  891M
29-08 16:32:00|1.00 0.88 0.50|   0   819B| 779M  124G 77.1M  891M
29-08 16:32:05|1.00 0.88 0.50|   0  2458B| 781M  124G 77.1M  891M
29-08 16:32:10|1.00 0.88 0.50|   0  1638B| 783M  124G 77.1M  891M
29-08 16:32:15|1.00 0.89 0.50|   0  4096B| 786M  124G 77.1M  891M
29-08 16:32:20|1.00 0.89 0.51|   0  2458B| 789M  124G 77.1M  891M
29-08 16:32:25|1.00 0.89 0.51|   0  2458B| 792M  124G 77.1M  891M
29-08 16:32:30|1.00 0.89 0.51|   0   819B| 794M  124G 77.1M  891M
29-08 16:32:35|1.00 0.89 0.52|   0  2458B| 797M  124G 77.1M  891M
29-08 16:32:40|1.00 0.89 0.52|   0   819B| 799M  124G 77.1M  891M
29-08 16:32:45|1.00 0.90 0.52|   0  2458B| 802M  124G 77.1M  891M
29-08 16:32:50|1.00 0.90 0.53|   0   819B| 805M  124G 77.1M  891M
29-08 16:32:55|1.00 0.90 0.53|   0  2458B| 808M  124G 77.1M  891M
29-08 16:33:00|1.00 0.90 0.53|   0   819B| 810M  124G 77.1M  891M
29-08 16:33:05|1.00 0.90 0.53|   0  2458B| 813M  124G 77.1M  891M
29-08 16:33:10|1.00 0.91 0.54|   0   819B| 816M  124G 77.1M  891M
29-08 16:33:15|1.00 0.91 0.54|   0  2458B| 818M  124G 77.1M  891M
29-08 16:33:20|1.00 0.91 0.54|   0   819B| 821M  124G 77.1M  891M
29-08 16:33:25|1.00 0.91 0.55|   0  2458B| 824M  124G 77.1M  891M
29-08 16:33:30|1.00 0.91 0.55|   0   819B| 827M  124G 77.1M  891M
29-08 16:33:35|1.00 0.92 0.55|   0  2458B| 829M  124G 77.1M  891M
29-08 16:33:40|1.00 0.92 0.55|   0   819B| 832M  124G 77.1M  891M
29-08 16:33:45|1.00 0.92 0.56|   0  2458B| 835M  124G 77.1M  891M
29-08 16:33:50|1.00 0.92 0.56|   0   819B| 837M  124G 77.1M  891M
29-08 16:33:55|1.00 0.92 0.56|   0  2458B| 840M  124G 77.1M  891M
29-08 16:34:00|1.00 0.92 0.56|   0   819B| 843M  124G 77.1M  891M
29-08 16:34:05|1.00 0.92 0.57|   0  2458B| 845M  124G 77.2M  891M
29-08 16:34:10|1.00 0.93 0.57|   0   819B| 848M  124G 77.2M  891M
29-08 16:34:15|1.00 0.93 0.57|   0  2458B| 851M  124G 77.2M  891M
29-08 16:34:20|1.00 0.93 0.57|   0   819B| 854M  124G 77.2M  891M
29-08 16:34:25|1.00 0.93 0.58|   0  2458B| 856M  124G 77.2M  891M
29-08 16:34:30|1.00 0.93 0.58|   0   819B| 859M  124G 77.2M  891M
29-08 16:34:35|1.00 0.93 0.58|   0  2458B| 862M  124G 77.2M  891M
29-08 16:34:40|1.00 0.93 0.58|   0   819B| 864M  124G 77.2M  891M
29-08 16:34:45|1.00 0.94 0.58|   0  2458B| 867M  124G 77.2M  891M
29-08 16:34:50|1.00 0.94 0.59|   0   819B| 870M  124G 77.2M  891M
29-08 16:34:55|1.00 0.94 0.59|   0  2458B| 872M  124G 77.2M  891M
29-08 16:35:00|1.00 0.94 0.59|   0   819B| 875M  124G 77.2M  891M
29-08 16:35:05|1.00 0.94 0.59|   0  2458B| 878M  124G 77.2M  891M
29-08 16:35:10|1.00 0.94 0.60|   0   819B| 881M  124G 77.2M  891M
29-08 16:35:15|1.00 0.94 0.60|   0  2458B| 883M  124G 77.2M  891M
29-08 16:35:20|1.00 0.94 0.60|   0   819B| 886M  124G 77.2M  891M
29-08 16:35:25|1.00 0.95 0.60|   0  2458B| 889M  124G 77.2M  891M
29-08 16:35:30|1.00 0.95 0.61|   0   819B| 892M  124G 77.2M  891M
29-08 16:35:35|1.00 0.95 0.61|   0  2458B| 894M  124G 77.2M  891M
29-08 16:35:40|1.00 0.95 0.61|   0   819B| 897M  124G 77.2M  891M
29-08 16:35:45|1.00 0.95 0.61|   0  2458B| 900M  124G 77.2M  891M
29-08 16:35:50|1.00 0.95 0.62|   0   819B| 903M  124G 77.2M  891M
29-08 16:35:55|1.00 0.95 0.62|   0  2458B| 905M  124G 77.2M  891M
29-08 16:36:00|1.00 0.95 0.62|   0   819B| 908M  124G 77.2M  891M
29-08 16:36:05|1.00 0.95 0.62|   0  2458B| 911M  124G 77.2M  891M
29-08 16:36:10|1.00 0.95 0.63|   0   819B| 913M  124G 77.2M  891M
29-08 16:36:15|1.00 0.96 0.63|   0  2458B| 916M  124G 77.2M  891M
29-08 16:36:20|1.00 0.96 0.63|   0   819B| 918M  124G 77.2M  891M
29-08 16:36:25|1.00 0.96 0.63|   0  2458B| 921M  124G 77.2M  891M
29-08 16:36:30|1.00 0.96 0.64|   0   819B| 924M  124G 77.2M  891M
29-08 16:36:35|1.00 0.96 0.64|   0  2458B| 927M  124G 77.2M  891M
29-08 16:36:40|1.00 0.96 0.64|   0   819B| 929M  124G 77.2M  891M
29-08 16:36:45|1.00 0.96 0.64|   0  2458B| 932M  124G 77.2M  891M
29-08 16:36:50|1.00 0.96 0.64|   0   819B| 934M  124G 77.2M  891M
29-08 16:36:55|1.00 0.96 0.65|   0  2458B| 937M  124G 77.2M  891M
29-08 16:37:00|1.00 0.96 0.65|   0   819B| 940M  124G 77.2M  891M
29-08 16:37:05|1.00 0.97 0.65|   0  2458B| 943M  124G 77.2M  891M
29-08 16:37:10|1.00 0.97 0.65|   0   819B| 945M  124G 77.2M  891M
29-08 16:37:15|1.00 0.97 0.65|   0  2458B| 948M  124G 77.2M  891M
29-08 16:37:20|1.00 0.97 0.66|   0  1638B| 950M  124G 77.2M  891M
29-08 16:37:25|1.00 0.97 0.66|   0  4096B| 953M  124G 77.2M  891M
29-08 16:37:30|1.00 0.97 0.66|   0  2458B| 956M  124G 77.2M  891M
29-08 16:37:35|1.00 0.97 0.66|   0  2458B| 958M  124G 77.2M  891M
29-08 16:37:40|1.00 0.97 0.66|   0   819B| 961M  124G 77.2M  891M
29-08 16:37:45|1.00 0.97 0.67|   0  2458B| 964M  124G 77.2M  891M
29-08 16:37:50|1.00 0.97 0.67|   0   819B| 966M  124G 77.2M  891M
29-08 16:37:55|1.00 0.97 0.67|   0  2458B| 969M  124G 77.2M  891M
29-08 16:38:00|1.00 0.97 0.67|   0   819B| 972M  124G 77.2M  891M
29-08 16:38:05|1.00 0.97 0.67|   0  2458B| 974M  124G 77.2M  891M
29-08 16:38:10|1.00 0.97 0.68|   0   819B| 977M  124G 77.2M  891M
29-08 16:38:15|1.00 0.97 0.68|   0  2458B| 980M  124G 77.2M  891M
29-08 16:38:20|1.00 0.98 0.68|   0   819B| 982M  124G 77.2M  891M
29-08 16:38:25|1.00 0.98 0.68|   0  2458B| 985M  124G 77.2M  891M
29-08 16:38:30|1.00 0.98 0.68|   0   819B| 988M  124G 77.2M  891M
29-08 16:38:35|1.00 0.98 0.69|   0  2458B| 990M  124G 77.2M  891M
29-08 16:38:40|1.00 0.98 0.69|   0   819B| 993M  124G 77.2M  891M
29-08 16:38:45|1.00 0.98 0.69|   0  2458B| 996M  124G 77.2M  891M
29-08 16:38:50|1.00 0.98 0.69|   0   819B| 998M  124G 77.2M  891M
29-08 16:38:55|1.00 0.98 0.69|   0  2458B|1001M  124G 77.2M  891M
29-08 16:39:00|1.00 0.98 0.70|   0  4096B|1003M  124G 77.2M  891M
29-08 16:39:05|1.00 0.98 0.70|   0  1638B|1006M  124G 77.2M  891M
