Number of cells: 5000
tstop: 5 hours
Notes: completed.

----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
29-08 19:03:04|0.05 0.01    0| 449M 3979M| 332M  125G 18.0M  142M
29-08 19:03:09|0.13 0.03 0.01|  16M   19k| 405M  125G 22.4M  228M
29-08 19:03:14|0.20 0.05 0.01|6186k   45k| 431M  125G 22.6M  258M
29-08 19:03:19|0.26 0.06 0.02|   0    77k| 433M  125G 22.6M  258M
29-08 19:03:24|0.32 0.08 0.02|   0     0 | 436M  125G 22.6M  258M
29-08 19:03:29|0.38 0.09 0.03|   0  2458B| 439M  125G 22.6M  258M
29-08 19:03:34|0.43 0.11 0.04|   0   819B| 442M  125G 22.6M  258M
29-08 19:03:39|0.47 0.12 0.04|   0  3277B| 445M  125G 22.6M  258M
29-08 19:03:44|0.52 0.14 0.05|   0  1668k| 447M  125G 22.6M  258M
29-08 19:03:49|0.55 0.15 0.05|   0  3277B| 450M  125G 22.6M  258M
29-08 19:03:54|0.59 0.17 0.06|   0  5734B| 453M  125G 22.6M  258M
29-08 19:03:59|0.62 0.18 0.06|   0  2458B| 456M  125G 22.7M  258M
29-08 19:04:04|0.65 0.20 0.07|   0     0 | 458M  125G 22.7M  258M
29-08 19:04:09|0.68 0.21 0.07|   0  2458B| 461M  125G 22.7M  258M
29-08 19:04:14|0.71 0.22 0.08|   0   819B| 464M  125G 22.7M  258M
29-08 19:04:19|0.73 0.24 0.08|   0  2458B| 467M  125G 22.7M  258M
29-08 19:04:24|0.75 0.25 0.09|   0     0 | 469M  125G 22.7M  258M
29-08 19:04:29|0.77 0.26 0.09|   0  3277B| 472M  125G 22.7M  258M
29-08 19:04:34|0.79 0.27 0.10|   0     0 | 475M  125G 22.7M  258M
29-08 19:04:39|0.81 0.29 0.10|   0  5734B| 477M  125G 22.7M  258M
29-08 19:04:44|0.82 0.30 0.11|   0     0 | 480M  125G 22.7M  258M
29-08 19:04:49|0.84 0.31 0.11|   0  3277B| 483M  125G 22.7M  258M
29-08 19:04:54|0.85 0.32 0.12|   0  2458B| 486M  125G 22.7M  258M
29-08 19:04:59|0.86 0.33 0.12|   0     0 | 489M  125G 22.7M  258M
29-08 19:05:04|0.88 0.34 0.13|   0  2458B| 491M  125G 22.7M  258M
