----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
13-10 05:05:05|   0 0.16 0.41|2789M   19G| 789M  111G  138M 13.8G
13-10 05:05:07|   0 0.16 0.41|   0     0 | 789M  111G  138M 13.8G
13-10 05:05:09|   0 0.16 0.41|   0     0 | 789M  111G  138M 13.8G
13-10 05:05:11|   0 0.16 0.40|   0    14k| 789M  111G  138M 13.8G
13-10 05:05:13|   0 0.16 0.40|   0     0 | 801M  111G  138M 13.8G
13-10 05:05:15|   0 0.16 0.40|   0     0 | 801M  111G  138M 13.8G
13-10 05:05:17|   0 0.16 0.40|   0    72k| 801M  111G  138M 13.8G
13-10 05:05:19|   0 0.16 0.40|   0     0 | 801M  111G  138M 13.8G
13-10 05:05:21|   0 0.15 0.40|   0   198k| 878M  111G  138M 13.8G
13-10 05:05:23|   0 0.15 0.40|   0  4198k| 895M  110G  138M 13.8G
13-10 05:05:25|0.08 0.17 0.40|   0   174k| 907M  110G  138M 13.8G
13-10 05:05:27|0.08 0.17 0.40|   0     0 | 914M  110G  138M 13.8G
13-10 05:05:29|0.08 0.17 0.40|   0     0 | 920M  110G  138M 13.8G
13-10 05:05:31|0.15 0.18 0.40|   0    24k| 927M  110G  138M 13.8G
13-10 05:05:33|0.15 0.18 0.40|   0     0 | 935M  110G  138M 13.8G
13-10 05:05:35|0.22 0.19 0.41|   0     0 | 939M  110G  138M 13.8G
13-10 05:05:37|0.22 0.19 0.41|   0  6144B| 945M  110G  138M 13.8G
13-10 05:05:39|0.22 0.19 0.41|   0     0 | 954M  110G  138M 13.8G
13-10 05:05:41|0.28 0.21 0.41|   0     0 | 956M  110G  138M 13.8G
13-10 05:05:43|0.28 0.21 0.41|   0  8192B| 961M  110G  138M 13.8G
13-10 05:05:45|0.34 0.22 0.41|   0     0 | 962M  110G  138M 13.8G
13-10 05:05:47|0.34 0.22 0.41|   0     0 | 965M  110G  138M 13.8G
13-10 05:05:49|0.34 0.22 0.41|   0  6144B| 966M  110G  138M 13.8G
13-10 05:05:51|0.39 0.23 0.42|   0     0 | 968M  110G  138M 13.8G
