----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
13-10 04:57:08|0.10 0.28 0.55|2789M   19G| 788M  111G  138M 13.8G
13-10 04:57:10|0.10 0.28 0.54|   0     0 | 788M  111G  138M 13.8G
13-10 04:57:12|0.10 0.28 0.54|   0     0 | 788M  111G  138M 13.8G
13-10 04:57:14|0.09 0.27 0.54|   0    16k| 800M  111G  138M 13.8G
13-10 04:57:16|0.09 0.27 0.54|   0     0 | 800M  111G  138M 13.8G
13-10 04:57:18|0.09 0.27 0.54|   0     0 | 800M  111G  138M 13.8G
13-10 04:57:20|0.08 0.27 0.54|   0  6144B| 800M  111G  138M 13.8G
13-10 04:57:22|0.08 0.27 0.54|   0    58k| 801M  111G  138M 13.8G
13-10 04:57:24|0.15 0.28 0.54|   0  4338k| 906M  110G  138M 13.8G
13-10 04:57:26|0.15 0.28 0.54|   0     0 | 921M  110G  138M 13.8G
13-10 04:57:28|0.15 0.28 0.54|   0   176k| 928M  110G  138M 13.8G
13-10 04:57:30|0.22 0.29 0.54|   0     0 | 936M  110G  138M 13.8G
13-10 04:57:32|0.22 0.29 0.54|   0     0 | 944M  110G  138M 13.8G
13-10 04:57:34|0.36 0.32 0.55|   0    26k| 949M  110G  138M 13.8G
13-10 04:57:36|0.36 0.32 0.55|   0     0 | 959M  110G  138M 13.8G
13-10 04:57:38|0.36 0.32 0.55|   0     0 | 960M  110G  138M 13.8G
13-10 04:57:40|0.42 0.33 0.55|   0  8192B| 972M  110G  138M 13.8G
13-10 04:57:42|0.42 0.33 0.55|   0     0 | 976M  110G  138M 13.8G
13-10 04:57:44|0.46 0.34 0.56|   0     0 | 977M  110G  138M 13.8G
13-10 04:57:46|0.46 0.34 0.56|   0  6144B| 982M  110G  138M 13.8G
13-10 04:57:48|0.46 0.34 0.56|   0     0 | 985M  110G  138M 13.8G
13-10 04:57:50|0.51 0.35 0.56|   0     0 | 986M  110G  138M 13.8G
13-10 04:57:52|0.51 0.35 0.56|   0  6144B| 989M  110G  138M 13.8G
13-10 04:57:54|0.55 0.36 0.56|   0     0 | 994M  110G  138M 13.8G
