#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231019   08:03:22      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:22      1     25     45      -      7      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:23      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:23      1     25     45      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:24      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:24      1     25     45      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:25      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:25      1     25     45      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:26      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:26      1     25     46      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:27      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:27      1     25     46      -      0      0      0      0      0      0   5000    585      0      0      2      2      0      0      0      0      0 
 20231019   08:03:28      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      5      3      0      0      0      0      0 
 20231019   08:03:28      1     26     46      -      0      0      0      0      0      0   5000    585      0      0      5      3      0      0      0      0      0 
 20231019   08:03:30      0     26     44      -      0      0      0      0      0      0   5000    585      0      0      5      3      0      0      0      0      0 
 20231019   08:03:30      1     25     46      -      0      0      0      0      0      0   5000    585      0      0      5      3      0      0      0      0      0 
 20231019   08:03:31      0      9     43      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:31      1     25     46      -      0      0      0      0      0      0   5000    585      0      0      5      3      0      0      0      0      0 
 20231019   08:03:32      0      9     43      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:32      1     25     46      -      0      0      0      0      0      0   5000    585      0      0      5      3      0      0      0      0      0 
 20231019   08:03:33      0      9     43      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:33      1      9     45      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:34      0      9     43      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:34      1      9     45      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:35      0      9     43      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:35      1      9     45      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:36      0     10     43      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:36      1      9     45      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:38      0      9     42      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:38      1      9     44      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:39      0      9     42      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:39      1      9     44      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:40      0      9     42      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:40      1      9     44      -      0      0      0      0      0      0    405    300      0      0      5      3      0      0      0      0      0 
 20231019   08:03:41      0     26     43      -      0      0      0      0      0      0   5000    585      0      0    108      5      0      0      0      0      0 
 20231019   08:03:41      1     25     45      -      0      0      0      0      0      0   5000    585      0      0    108      5      0      0      0      0      0 
