----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
13-10 05:12:55|   0 0.15 0.33|2789M   19G| 787M  111G  138M 13.8G
13-10 05:12:57|   0 0.15 0.33|   0     0 | 787M  111G  138M 13.8G
13-10 05:12:59|   0 0.15 0.33|   0     0 | 787M  111G  138M 13.8G
13-10 05:13:01|   0 0.14 0.33|   0    14k| 787M  111G  138M 13.8G
13-10 05:13:03|   0 0.14 0.33|   0     0 | 787M  111G  138M 13.8G
13-10 05:13:05|   0 0.14 0.33|   0     0 | 800M  111G  138M 13.8G
13-10 05:13:07|   0 0.14 0.33|   0    16k| 800M  111G  138M 13.8G
13-10 05:13:09|   0 0.14 0.33|   0     0 | 800M  111G  138M 13.8G
13-10 05:13:11|   0 0.14 0.32|   0     0 | 800M  111G  138M 13.8G
13-10 05:13:13|   0 0.14 0.32|   0  6144B| 800M  111G  138M 13.8G
13-10 05:13:15|   0 0.14 0.32|   0     0 | 800M  111G  138M 13.8G
13-10 05:13:17|   0 0.14 0.32|   0     0 | 800M  111G  138M 13.8G
13-10 05:13:19|   0 0.14 0.32|   0  8192B| 800M  111G  138M 13.8G
13-10 05:13:21|   0 0.13 0.32|   0     0 | 800M  111G  138M 13.8G
13-10 05:13:23|   0 0.13 0.32|   0    58k| 801M  111G  138M 13.8G
13-10 05:13:25|0.08 0.15 0.32|   0     0 | 896M  110G  138M 13.8G
13-10 05:13:27|0.08 0.15 0.32|   0  4194k| 914M  110G  138M 13.8G
13-10 05:13:29|0.08 0.15 0.32|   0    72k| 927M  110G  138M 13.8G
13-10 05:13:31|0.15 0.16 0.33|   0     0 | 937M  110G  138M 13.8G
13-10 05:13:33|0.15 0.16 0.33|   0     0 | 942M  110G  138M 13.8G
13-10 05:13:35|0.22 0.18 0.33|   0  8192B| 948M  110G  138M 13.8G
13-10 05:13:37|0.22 0.18 0.33|   0     0 | 953M  110G  138M 13.8G
13-10 05:13:39|0.22 0.18 0.33|   0     0 | 955M  110G  138M 13.8G
13-10 05:13:41|0.28 0.19 0.34|   0  6144B| 958M  110G  138M 13.8G
13-10 05:13:43|0.28 0.19 0.34|   0     0 | 964M  110G  138M 13.8G
13-10 05:13:45|0.34 0.20 0.34|   0     0 | 967M  110G  138M 13.8G
13-10 05:13:47|0.34 0.20 0.34|   0  8192B| 970M  110G  138M 13.8G
13-10 05:13:49|0.34 0.20 0.34|   0     0 | 972M  110G  138M 13.8G
13-10 05:13:51|0.39 0.22 0.34|   0     0 | 972M  110G  138M 13.8G
13-10 05:13:53|0.39 0.22 0.34|   0  6144B| 980M  110G  138M 13.8G
13-10 05:13:55|0.44 0.23 0.35|   0     0 | 992M  110G  138M 13.8G
13-10 05:13:57|0.44 0.23 0.35|   0     0 | 995M  110G  138M 13.8G
13-10 05:13:59|0.44 0.23 0.35|   0    10k|1000M  110G  138M 13.8G
13-10 05:14:01|0.49 0.25 0.35|   0     0 |1003M  110G  138M 13.8G
13-10 05:14:03|0.49 0.25 0.35|   0    74k|1004M  110G  138M 13.8G
13-10 05:14:05|0.53 0.26 0.36|   0    12k|1004M  110G  138M 13.8G
13-10 05:14:07|0.53 0.26 0.36|   0     0 |1007M  110G  138M 13.8G
13-10 05:14:09|0.53 0.26 0.36|   0     0 |1008M  110G  138M 13.8G
13-10 05:14:11|0.57 0.27 0.36|   0  8192B|1011M  110G  138M 13.8G
13-10 05:14:13|0.57 0.27 0.36|   0     0 |1014M  110G  138M 13.8G
13-10 05:14:15|0.60 0.28 0.36|   0     0 |1016M  110G  138M 13.8G
13-10 05:14:17|0.60 0.28 0.36|   0  6144B|1020M  110G  138M 13.8G
13-10 05:14:19|0.60 0.28 0.36|   0     0 |1021M  110G  138M 13.8G
13-10 05:14:21|0.63 0.29 0.37|   0     0 |1022M  110G  138M 13.8G
13-10 05:14:23|0.63 0.29 0.37|   0  8192B|3708M  108G  138M 13.9G
13-10 05:14:25|0.66 0.31 0.37|   0     0 |8522M  103G  138M 13.9G
