----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
09-10 18:30:13|0.02 3.01 3.16| 621M 4923M| 729M  118G  114M 6287M
09-10 18:30:15|0.02 3.01 3.16|   0     0 | 729M  118G  114M 6287M
09-10 18:30:17|0.02 2.95 3.15|   0     0 | 729M  118G  114M 6287M
09-10 18:30:19|0.02 2.95 3.15|   0    12k| 729M  118G  114M 6287M
09-10 18:30:21|0.02 2.95 3.15|   0     0 | 729M  118G  114M 6287M
09-10 18:30:23|0.02 2.91 3.13|   0     0 | 729M  118G  114M 6287M
09-10 18:30:25|0.02 2.91 3.13|   0    24k| 729M  118G  114M 6287M
09-10 18:30:27|0.02 2.86 3.11|   0     0 | 729M  118G  114M 6287M
09-10 18:30:29|0.02 2.86 3.11|   0    14k| 741M  118G  114M 6287M
09-10 18:30:31|0.02 2.86 3.11|   0    14k| 741M  118G  114M 6287M
09-10 18:30:33|0.02 2.81 3.09|   0     0 | 741M  118G  114M 6287M
09-10 18:30:35|0.02 2.81 3.09|   0     0 | 741M  118G  114M 6287M
09-10 18:30:37|0.01 2.76 3.08|   0  6144B| 742M  118G  114M 6287M
09-10 18:30:39|0.01 2.76 3.08|   0    54k|2011M  117G  114M 6287M
09-10 18:30:41|0.01 2.76 3.08|   0     0 |2213M  117G  114M 6289M
09-10 18:30:43|1.69 3.07 3.17|   0    60k|3432M  116G  114M 6527M
09-10 18:30:45|1.69 3.07 3.17|   0  2048B|3432M  116G  114M 6527M
09-10 18:30:47|3.16 3.35 3.27|   0     0 |3432M  116G  114M 6527M
09-10 18:30:49|3.16 3.35 3.27|   0    28k|3432M  116G  114M 6527M
09-10 18:30:51|3.16 3.35 3.27|   0     0 |3432M  116G  114M 6527M
09-10 18:30:53|4.51 3.62 3.36|   0     0 |3432M  116G  114M 6527M
09-10 18:30:55|4.51 3.62 3.36|   0  8192B|3433M  116G  114M 6527M
09-10 18:30:57|5.75 3.90 3.45|   0     0 |3433M  116G  114M 6527M
09-10 18:30:59|5.75 3.90 3.45|   0     0 |3434M  116G  114M 6527M
09-10 18:31:01|5.75 3.90 3.45|   0  6144B|3435M  116G  114M 6527M
09-10 18:31:03|6.89 4.16 3.53|   0     0 |3435M  116G  114M 6527M
09-10 18:31:05|6.89 4.16 3.53|   0    62k|3438M  116G  114M 6527M
09-10 18:31:07|7.94 4.43 3.62|   0  6144B|3440M  116G  114M 6527M
09-10 18:31:09|7.94 4.43 3.62|   0     0 |3440M  116G  114M 6527M
09-10 18:31:11|7.94 4.43 3.62|   0    54k|3441M  116G  114M 6527M
09-10 18:31:13|8.91 4.69 3.71|   0    24k|3441M  116G  114M 6527M
09-10 18:31:15|8.91 4.69 3.71|   0     0 |3442M  116G  114M 6527M
09-10 18:31:17|9.80 4.94 3.80|   0     0 |3442M  116G  114M 6527M
09-10 18:31:19|9.80 4.94 3.80|   0  8192B|3443M  116G  114M 6527M
09-10 18:31:21|9.80 4.94 3.80|   0  2048B|3443M  116G  114M 6527M
09-10 18:31:23|10.6 5.19 3.89|   0     0 |3443M  116G  114M 6527M
09-10 18:31:25|10.6 5.19 3.89|   0  6144B|3451M  116G  114M 6527M
09-10 18:31:27|11.4 5.44 3.97|   0  4096B|3451M  116G  114M 6527M
09-10 18:31:29|11.4 5.44 3.97|   0     0 |3452M  116G  114M 6527M
09-10 18:31:31|11.4 5.44 3.97|   0    12k|3452M  116G  114M 6527M
09-10 18:31:33|12.1 5.68 4.06|   0     0 |3452M  116G  114M 6527M
09-10 18:31:35|12.1 5.68 4.06|   0     0 |3452M  116G  114M 6527M
09-10 18:31:37|12.7 5.92 4.15|   0  6144B|3453M  116G  114M 6527M
09-10 18:31:39|12.7 5.92 4.15|   0     0 |3453M  116G  114M 6527M
09-10 18:31:41|12.7 5.92 4.15|   0    22k|3453M  116G  114M 6527M
09-10 18:31:43|13.3 6.15 4.23|   0  8192B|3454M  116G  115M 6527M
09-10 18:31:45|13.3 6.15 4.23|   0     0 |3455M  116G  115M 6527M
09-10 18:31:47|13.8 6.38 4.32|   0     0 |3455M  116G  115M 6527M
09-10 18:31:49|13.8 6.38 4.32|   0  6144B|3455M  116G  115M 6527M
09-10 18:31:51|13.8 6.38 4.32|   0     0 |3456M  116G  115M 6527M
09-10 18:31:53|14.3 6.61 4.40|   0     0 |3456M  116G  115M 6527M
09-10 18:31:55|14.3 6.61 4.40|   0  6144B|3456M  116G  115M 6527M
09-10 18:31:57|14.8 6.83 4.49|   0  2048B|3457M  116G  115M 6527M
09-10 18:31:59|14.8 6.83 4.49|   0     0 |3458M  116G  115M 6527M
09-10 18:32:01|14.8 6.83 4.49|   0  6144B|3458M  116G  115M 6527M
09-10 18:32:03|15.2 7.05 4.57|   0     0 |3460M  116G  115M 6527M
09-10 18:32:05|15.2 7.05 4.57|   0     0 |3460M  116G  115M 6527M
09-10 18:32:07|15.6 7.26 4.65|   0  8192B|3476M  116G  115M 6527M
09-10 18:32:09|15.6 7.26 4.65|   0     0 |3477M  116G  115M 6527M
09-10 18:32:11|15.6 7.26 4.65|   0     0 |3477M  116G  115M 6527M
09-10 18:32:13|15.9 7.48 4.73|   0    16k|3477M  116G  115M 6527M
09-10 18:32:15|15.9 7.48 4.73|   0     0 |3478M  116G  115M 6527M
09-10 18:32:17|16.2 7.68 4.82|   0  6144B|3478M  116G  115M 6527M
09-10 18:32:19|16.2 7.68 4.82|   0  6144B|3478M  116G  115M 6527M
09-10 18:32:21|16.2 7.68 4.82|   0     0 |3478M  116G  115M 6527M
09-10 18:32:23|16.6 7.89 4.90|   0     0 |3479M  116G  115M 6527M
09-10 18:32:25|16.6 7.89 4.90|   0  8192B|3481M  116G  115M 6527M
09-10 18:32:27|16.8 8.09 4.98|   0     0 |3481M  116G  115M 6527M
09-10 18:32:29|16.8 8.09 4.98|   0     0 |3481M  116G  115M 6527M
09-10 18:32:31|16.8 8.09 4.98|   0  6144B|3482M  116G  115M 6527M
09-10 18:32:33|17.1 8.29 5.06|   0  4096B|3482M  116G  115M 6527M
09-10 18:32:35|17.1 8.29 5.06|   0     0 |3482M  116G  115M 6527M
09-10 18:32:37|17.3 8.48 5.14|   0    12k|3483M  116G  115M 6527M
09-10 18:32:39|17.3 8.48 5.14|   0     0 |3483M  116G  115M 6527M
09-10 18:32:41|17.3 8.48 5.14|   0     0 |3483M  116G  115M 6527M
09-10 18:32:43|17.5 8.67 5.22|   0  6144B|3483M  116G  115M 6527M
09-10 18:32:45|17.5 8.67 5.22|   0     0 |3483M  116G  115M 6527M
09-10 18:32:47|17.7 8.86 5.30|   0     0 |3483M  116G  115M 6527M
09-10 18:32:49|17.7 8.86 5.30|   0  6144B|3484M  116G  115M 6527M
09-10 18:32:51|17.7 8.86 5.30|   0     0 |3485M  116G  115M 6527M
09-10 18:32:53|17.9 9.05 5.38|   0  8192B|3485M  116G  115M 6527M
09-10 18:32:55|17.9 9.05 5.38|   0  8192B|3486M  116G  115M 6527M
09-10 18:32:57|18.1 9.23 5.46|   0     0 |3486M  116G  115M 6527M
09-10 18:32:59|18.1 9.23 5.46|   0     0 |3487M  116G  115M 6527M
09-10 18:33:01|18.1 9.23 5.46|   0  6144B|3487M  116G  115M 6527M
09-10 18:33:03|18.3 9.42 5.54|   0  4096B|3487M  116G  115M 6527M
09-10 18:33:05|18.3 9.42 5.54|   0     0 |3488M  116G  115M 6527M
09-10 18:33:07|18.4 9.60 5.62|   0    12k|3488M  116G  115M 6527M
09-10 18:33:09|18.4 9.60 5.62|   0  2048B|3488M  116G  115M 6527M
09-10 18:33:11|18.4 9.60 5.62|   0     0 |3489M  116G  115M 6527M
09-10 18:33:13|18.6 9.77 5.70|   0  6144B|3490M  116G  115M 6527M
09-10 18:33:15|18.6 9.77 5.70|   0     0 |3490M  116G  115M 6527M
09-10 18:33:17|18.7 9.94 5.78|   0     0 |3492M  116G  115M 6527M
09-10 18:33:19|18.7 9.94 5.78|   0  6144B|3492M  116G  115M 6527M
09-10 18:33:21|18.7 9.94 5.78|   0     0 |3493M  116G  115M 6527M
09-10 18:33:23|18.8 10.1 5.85|   0     0 |3493M  116G  115M 6527M
09-10 18:33:25|18.8 10.1 5.85|   0  8192B|3495M  116G  115M 6527M
09-10 18:33:27|18.9 10.3 5.93|   0     0 |3495M  116G  115M 6527M
09-10 18:33:29|18.9 10.3 5.93|   0  6144B|3501M  116G  115M 6527M
09-10 18:33:31|18.9 10.3 5.93|   0  6144B|3528M  116G  115M 6527M
09-10 18:33:33|19.0 10.4 6.00|   0     0 |3528M  116G  115M 6527M
09-10 18:33:35|19.0 10.4 6.00|   0     0 |3528M  116G  115M 6527M
09-10 18:33:37|19.1 10.6 6.08|   0  6144B|3528M  116G  115M 6527M
09-10 18:33:39|19.1 10.6 6.08|   0     0 |3528M  116G  115M 6527M
09-10 18:33:41|19.1 10.6 6.08|   0     0 |3529M  116G  115M 6527M
09-10 18:33:43|19.1 10.8 6.15|   0  6144B|3530M  116G  115M 6527M
09-10 18:33:45|19.1 10.8 6.15|   0  2048B|3530M  116G  115M 6528M
09-10 18:33:47|19.2 10.9 6.23|   0     0 |3530M  116G  115M 6528M
09-10 18:33:49|19.2 10.9 6.23|   0  8192B|3530M  116G  115M 6527M
09-10 18:33:51|19.2 10.9 6.23|   0     0 |3531M  116G  115M 6528M
09-10 18:33:53|19.3 11.1 6.30|   0     0 |3532M  116G  115M 6528M
09-10 18:33:55|19.3 11.1 6.30|   0    16k|3532M  116G  115M 6527M
09-10 18:33:57|19.3 11.2 6.38|   0     0 |3532M  116G  115M 6528M
09-10 18:33:59|19.3 11.2 6.38|   0     0 |3533M  116G  115M 6528M
09-10 18:34:01|19.3 11.2 6.38|   0  6144B|3533M  116G  115M 6527M
09-10 18:34:03|19.4 11.3 6.45|   0     0 |3533M  116G  115M 6528M
09-10 18:34:05|19.4 11.3 6.45|   0  6144B|3533M  116G  115M 6528M
09-10 18:34:07|19.4 11.5 6.52|   0   112k|3534M  116G  115M 6527M
09-10 18:34:09|19.4 11.5 6.52|   0     0 |3534M  116G  115M 6528M
09-10 18:34:11|19.4 11.5 6.52|   0     0 |3534M  116G  115M 6528M
09-10 18:34:13|19.5 11.6 6.60|   0   118k|3535M  116G  115M 6528M
09-10 18:34:15|19.5 11.6 6.60|   0     0 |3535M  116G  115M 6528M
09-10 18:34:17|19.5 11.8 6.67|   0    24k|3536M  116G  115M 6528M
09-10 18:34:19|19.5 11.8 6.67|   0     0 |3536M  116G  115M 6528M
09-10 18:34:21|19.5 11.8 6.67|   0  4096B|3536M  116G  115M 6528M
09-10 18:34:23|19.6 11.9 6.74|   0    10k|3537M  116G  115M 6528M
09-10 18:34:25|19.6 11.9 6.74|   0     0 |3537M  116G  115M 6528M
09-10 18:34:27|19.6 12.1 6.81|   0     0 |3538M  116G  115M 6528M
09-10 18:34:29|19.6 12.1 6.81|   0  6144B|3538M  116G  115M 6528M
09-10 18:34:31|19.6 12.1 6.81|   0     0 |3538M  116G  115M 6528M
09-10 18:34:33|19.6 12.2 6.88|   0     0 |3538M  116G  115M 6528M
09-10 18:34:35|19.6 12.2 6.88|   0  8192B|3538M  116G  115M 6528M
09-10 18:34:37|19.7 12.3 6.95|   0     0 |3539M  116G  115M 6528M
09-10 18:34:39|19.7 12.3 6.95|   0     0 |3539M  116G  115M 6528M
09-10 18:34:41|19.7 12.3 6.95|   0    44k|3540M  116G  115M 6528M
09-10 18:34:43|19.7 12.4 7.02|   0     0 |3540M  116G  115M 6528M
09-10 18:34:45|19.7 12.4 7.02|   0     0 |3541M  116G  115M 6528M
09-10 18:34:47|19.7 12.6 7.09|   0  6144B|3541M  116G  115M 6528M
09-10 18:34:49|19.7 12.6 7.09|   0     0 |3541M  116G  115M 6528M
09-10 18:34:51|19.7 12.6 7.09|   0     0 |3542M  116G  115M 6528M
09-10 18:34:53|19.7 12.7 7.16|   0  6144B|3542M  116G  115M 6528M
09-10 18:34:55|19.7 12.7 7.16|   0  2048B|3543M  116G  115M 6528M
09-10 18:34:57|19.8 12.8 7.23|   0     0 |3543M  116G  115M 6528M
09-10 18:34:59|19.8 12.8 7.23|   0    10k| 951M  118G  115M 6301M
09-10 18:35:01|19.8 12.8 7.23|   0    40k| 745M  118G  115M 6289M
09-10 18:35:03|18.2 12.6 7.19|   0     0 | 745M  118G  115M 6289M
09-10 18:35:05|18.2 12.6 7.19|   0    74k| 744M  118G  115M 6287M
09-10 18:35:07|16.7 12.4 7.15|   0     0 | 744M  118G  115M 6287M
09-10 18:35:09|16.7 12.4 7.15|   0     0 | 744M  118G  115M 6287M
09-10 18:35:11|16.7 12.4 7.15|   0    22k| 744M  118G  115M 6287M
09-10 18:35:13|15.4 12.2 7.12|   0     0 | 744M  118G  115M 6287M
09-10 18:35:15|15.4 12.2 7.12|   0     0 | 744M  118G  115M 6287M
09-10 18:35:17|14.2 12.0 7.08|   0    50k| 744M  118G  115M 6287M
09-10 18:35:19|14.2 12.0 7.08|   0     0 | 744M  118G  115M 6287M
09-10 18:35:21|14.2 12.0 7.08|   0     0 | 744M  118G  115M 6287M
09-10 18:35:23|13.0 11.8 7.04|   0  8192B| 743M  118G  115M 6287M
09-10 18:35:25|13.0 11.8 7.04|   0     0 | 744M  118G  115M 6287M
09-10 18:35:27|12.0 11.6 7.00|   0  2048B| 744M  118G  115M 6287M
