#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231009   18:30:28      0      9     29      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231009   18:30:29      0      9     29      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231009   18:30:30      0      9     29      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231009   18:30:31      0      9     29      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231009   18:30:32      0      9     29      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231009   18:30:33      0      9     29      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231009   18:30:34      0      9     29      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231009   18:30:35      0      9     29      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231009   18:30:37      0      9     29      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231009   18:30:38      0      9     29      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231009   18:30:39      0     26     30      -      0      0      0      0      0      0   5000   1140      0      0      9      3      0      0      0     30     30 
 20231009   18:30:40      0     34     31      -      0      0      0      0      0      0   5000   1590      0      0    211     43      0      0      0     18     20 
 20231009   18:30:41      0     35     31      -      0      0      0      0      0      0   5000   1590      0      0    223     43      0      0      0     19     73 
 20231009   18:30:43      0     46     32      -     94     11      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     63     19 
 20231009   18:30:44      0     45     33      -     98     11      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     66     20 
 20231009   18:30:45      0     45     33      -     98     11      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     62     21 
 20231009   18:30:46      0     46     33      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     78     22 
 20231009   18:30:47      0     45     34      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     75     23 
 20231009   18:30:48      0     45     34      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     79     22 
 20231009   18:30:49      0     45     34      -     98     13      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     63     18 
 20231009   18:30:50      0     47     35      -     98     13      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     73     22 
 20231009   18:30:51      0     46     35      -     98     11      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     77     23 
 20231009   18:30:52      0     46     35      -     98     11      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     78     22 
 20231009   18:30:53      0     46     36      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     76     23 
 20231009   18:30:54      0     47     36      -     98     13      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     73     22 
 20231009   18:30:55      0     45     36      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     71     20 
 20231009   18:30:56      0     45     37      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     61     20 
 20231009   18:30:58      0     46     37      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     69     19 
 20231009   18:30:59      0     44     37      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     77     22 
 20231009   18:31:00      0     45     37      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     76     21 
 20231009   18:31:01      0     45     38      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     78     22 
 20231009   18:31:02      0     46     38      -     98     11      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     78     22 
 20231009   18:31:03      0     46     38      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     79     21 
 20231009   18:31:04      0     45     38      -     98     11      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     78     23 
 20231009   18:31:05      0     46     39      -     98     11      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     75     23 
 20231009   18:31:06      0     46     39      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     79     22 
 20231009   18:31:07      0     47     39      -     98     11      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     77     22 
 20231009   18:31:08      0     48     39      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     74     23 
 20231009   18:31:09      0     47     40      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     71     21 
 20231009   18:31:10      0     46     40      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     62     18 
 20231009   18:31:11      0     46     40      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     77     20 
 20231009   18:31:12      0     45     40      -     98     12      0      0      0      0   5000   1590      0      0   2493     43      0      0      0     74     21 
