----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
19-10 06:04:38|1.91 0.77 0.34| 290M   19G| 619M 94.6G 41.7M 29.5G
19-10 06:04:40|1.91 0.77 0.34|2048B 2764k| 583M 94.6G 42.0M 29.5G
19-10 06:04:42|1.83 0.78 0.35|   0  2048B| 576M 94.6G 42.0M 29.5G
19-10 06:04:44|1.83 0.78 0.35| 204k 4240k| 677M 94.5G 42.7M 29.5G
19-10 06:04:46|1.83 0.78 0.35|   0   540k| 665M 94.6G 42.7M 29.5G
19-10 06:04:48|1.85 0.80 0.36| 152k 2758k| 995M 94.2G 43.3M 29.5G
19-10 06:04:50|1.85 0.80 0.36|4096B 2992k|1016M 94.2G 43.7M 29.5G
19-10 06:04:52|1.94 0.83 0.37|4096B   26k|1008M 94.2G 43.7M 29.5G
19-10 06:04:54|1.94 0.83 0.37| 346k 7908k|1025M 94.2G 44.7M 29.5G
19-10 06:04:56|1.94 0.83 0.37| 226k 2164k|1018M 94.2G 45.8M 29.5G
19-10 06:04:58|2.02 0.87 0.39| 616k   16k|1019M 94.0G 47.1M 29.7G
19-10 06:05:00|2.02 0.87 0.39| 202k  558k|1035M 94.0G 47.5M 29.7G
19-10 06:05:02|2.10 0.91 0.40|   0  2048B|1037M 94.0G 47.5M 29.7G
19-10 06:05:04|2.10 0.91 0.40|   0    76k|1037M 93.9G 47.5M 29.8G
19-10 06:05:06|2.10 0.91 0.40|4096B   88M|1039M 94.2G 47.6M 29.5G
19-10 06:05:08|2.18 0.94 0.41|   0  2048B|1031M 94.2G 47.6M 29.5G
19-10 06:05:10|2.18 0.94 0.41|  66k 2340k|1021M 94.2G 48.0M 29.5G
19-10 06:05:12|2.16 0.96 0.42|  86k    0 | 950M 94.4G 48.1M 29.4G
19-10 06:05:14|2.16 0.96 0.42|4096B    0 | 952M 94.4G 48.1M 29.4G
19-10 06:05:16|2.16 0.96 0.42|   0   238k| 955M 94.4G 48.1M 29.4G
19-10 06:05:18|2.15 0.98 0.43|   0     0 | 953M 94.4G 48.1M 29.4G
19-10 06:05:20|2.15 0.98 0.43|   0     0 | 954M 94.4G 48.1M 29.4G
19-10 06:05:22|2.14 0.99 0.44|   0  6400B| 956M 94.4G 48.1M 29.4G
19-10 06:05:24|2.14 0.99 0.44|   0     0 | 958M 94.4G 48.1M 29.4G
19-10 06:05:26|2.14 0.99 0.44|   0     0 | 961M 94.4G 48.1M 29.4G
19-10 06:05:28|2.12 1.01 0.45|   0  8192B| 963M 94.4G 48.1M 29.4G
19-10 06:05:30|2.12 1.01 0.45|   0     0 | 966M 94.4G 48.1M 29.4G
19-10 06:05:32|2.11 1.03 0.46|   0    25M| 968M 94.4G 48.1M 29.4G
19-10 06:05:34|2.11 1.03 0.46|   0    22k| 971M 94.4G 48.1M 29.4G
19-10 06:05:36|2.11 1.03 0.46|   0     0 | 973M 94.4G 48.1M 29.4G
19-10 06:05:38|2.10 1.04 0.47|   0     0 | 975M 94.4G 48.1M 29.4G
19-10 06:05:40|2.10 1.04 0.47|   0    10k| 579M 94.8G 48.1M 29.4G
19-10 06:05:42|1.94 1.03 0.46|   0     0 | 579M 94.8G 48.1M 29.4G
19-10 06:05:44|1.94 1.03 0.46|   0     0 | 579M 94.8G 48.1M 29.4G
19-10 06:05:46|1.94 1.03 0.46|   0    42k| 579M 94.8G 48.1M 29.4G
19-10 06:05:48|1.78 1.01 0.46|   0     0 | 579M 94.8G 48.1M 29.4G
19-10 06:05:50|1.78 1.01 0.46|   0     0 | 579M 94.8G 48.1M 29.4G
19-10 06:05:52|1.64 0.99 0.46|   0  8192B| 579M 94.8G 48.2M 29.4G
19-10 06:05:54|1.64 0.99 0.46|   0     0 | 579M 94.8G 48.2M 29.4G
19-10 06:05:56|1.64 0.99 0.46|   0     0 | 579M 94.8G 48.2M 29.4G
19-10 06:05:58|1.51 0.98 0.46|   0  6144B| 579M 94.8G 48.2M 29.4G
19-10 06:06:00|1.51 0.98 0.46|   0     0 | 579M 94.8G 48.2M 29.4G
