#Date       Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD   HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB   errs   errs   errs   MB/s   MB/s 
 20231012   20:55:11      0      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:11      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:12      0      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:12      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:13      0      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:13      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:14      0      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:14      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:15      0      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:15      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:16      0      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:16      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:18      0      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:18      1      9     38      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:19      0      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:19      1      9     37      -      0      0      0      0      0      0    405    300      0      0      6      2      0      0      0      0      0 
 20231012   20:55:20      0      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:20      1     10     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      2     15 
 20231012   20:55:21      0     60     39      -     60     17      0      0      0      0   5000   1590      0      0    129      5      0      0      0     68     18 
 20231012   20:55:21      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:22      0     60     41      -     75     31      0      0      0      0   5000   1590      0      0    129      5      0      0      0     60     17 
 20231012   20:55:22      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:23      0     61     41      -     75     31      0      0      0      0   5000   1590      0      0    129      5      0      0      0     59     18 
 20231012   20:55:23      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:24      0     60     42      -     75     31      0      0      0      0   5000   1590      0      0    129      5      0      0      0     62     17 
 20231012   20:55:24      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:25      0     61     43      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     60     18 
 20231012   20:55:25      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:27      0     62     43      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     63     16 
 20231012   20:55:27      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:28      0     61     44      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     65     17 
 20231012   20:55:28      1      9     37      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:29      0     61     44      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     67     17 
 20231012   20:55:29      1      9     38      -      0      0      0      0      0      0    405    300      0      0      9      3      0      0      0      0      0 
 20231012   20:55:30      0     62     45      -     75     30      0      0      0      0   5000   1590      0      0    129      5      0      0      0     57     17 
