----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
09-10 17:34:45|1.19 0.77 0.30| 619M 4913M| 731M  118G  114M 6284M
09-10 17:34:47|1.19 0.77 0.30|   0   110k| 731M  118G  114M 6284M
09-10 17:34:49|4.54 1.47 0.52|   0     0 |1276M  118G  114M 6293M
09-10 17:34:51|4.54 1.47 0.52|   0    80k|1950M  117G  114M 6294M
09-10 17:34:53|4.54 1.47 0.52|   0  4222k|1960M  117G  114M 6300M
09-10 17:34:55|5.77 1.78 0.63|   0     0 |1960M  117G  114M 6300M
09-10 17:34:57|5.77 1.78 0.63|   0    18k|1960M  117G  114M 6300M
09-10 17:34:59|6.91 2.08 0.73|   0     0 |1960M  117G  114M 6300M
09-10 17:35:01|6.91 2.08 0.73|   0     0 |1960M  117G  114M 6300M
09-10 17:35:03|6.91 2.08 0.73|   0  6144B|1960M  117G  114M 6300M
09-10 17:35:05|7.96 2.38 0.84|   0     0 |1960M  117G  114M 6300M
09-10 17:35:07|7.96 2.38 0.84|   0     0 | 738M  118G  114M 6291M
09-10 17:35:09|7.32 2.34 0.83|   0    30k| 733M  118G  114M 6284M
09-10 17:35:11|7.32 2.34 0.83|   0     0 | 733M  118G  114M 6284M
09-10 17:35:13|7.32 2.34 0.83|   0     0 | 733M  118G  114M 6284M
