----system---- ---load-avg--- -dsk/total- ------memory-usage-----
     time     | 1m   5m  15m | read  writ| used  free  buff  cach
18-08 20:22:45|8.15 11.3 5.88| 553M 9632M| 388M  125G 5084k 46.4M
18-08 20:22:47|8.15 11.3 5.88|   0    16k| 388M  125G 5084k 46.5M
18-08 20:22:49|8.15 11.3 5.88| 170k    0 | 389M  125G 5356k 46.6M
18-08 20:22:51|39.5 17.8 8.00|  21M   38k|1223M  124G 7588k 95.0M
18-08 20:22:53|39.5 17.8 8.00| 660k 4168k|1439M  124G 7588k 97.3M
18-08 20:22:55|38.0 17.8 8.06|   0     0 |1570M  124G 7588k 97.3M
18-08 20:22:57|38.0 17.8 8.06|   0    70k|1750M  124G 7596k 97.3M
18-08 20:22:59|38.0 17.8 8.06|   0     0 |1922M  124G 7596k 97.3M
18-08 20:23:01|36.5 17.9 8.12|   0  6144B|2094M  124G 7604k 97.3M
18-08 20:23:03|36.5 17.9 8.12|   0     0 |2262M  123G 7604k 97.3M
18-08 20:23:05|35.2 17.9 8.19|   0    66k|2432M  123G 7604k 97.3M
18-08 20:23:07|35.2 17.9 8.19|   0  6144B|2605M  123G 7612k 97.3M
18-08 20:23:09|35.2 17.9 8.19|   0     0 |2776M  123G 7612k 97.3M
18-08 20:23:11|34.0 17.9 8.25|   0   354k|2948M  123G 7692k 97.3M
18-08 20:23:13|34.0 17.9 8.25|   0     0 |3108M  123G 7692k 97.3M
18-08 20:23:15|32.9 18.0 8.32|   0     0 |3278M  122G 7692k 97.3M
18-08 20:23:17|32.9 18.0 8.32|   0    10k|3450M  122G 7700k 97.3M
18-08 20:23:19|32.9 18.0 8.32|   0     0 |3620M  122G 7700k 97.3M
18-08 20:23:21|31.8 18.0 8.38|   0     0 |3787M  122G 7700k 97.3M
18-08 20:23:23|31.8 18.0 8.38|   0    10k|3959M  122G 7708k 97.3M
18-08 20:23:25|30.9 18.0 8.44|   0     0 |4131M  122G 7708k 97.3M
18-08 20:23:27|30.9 18.0 8.44|   0     0 |4302M  121G 7708k 97.3M
18-08 20:23:29|30.9 18.0 8.44|   0    10k|4474M  121G 7716k 97.3M
18-08 20:23:31|30.0 18.1 8.50|   0     0 |4644M  121G 7716k 97.3M
18-08 20:23:33|30.0 18.1 8.50|   0     0 |4784M  121G 7716k 97.3M
18-08 20:23:35|29.2 18.1 8.57|   0    10k|4961M  121G 7724k 97.3M
18-08 20:23:37|29.2 18.1 8.57|   0     0 |5131M  121G 7724k 97.3M
18-08 20:23:39|29.2 18.1 8.57|   0     0 |5302M  120G 7724k 97.3M
18-08 20:23:41|28.5 18.1 8.63|   0   358k|5471M  120G 7812k 97.3M
18-08 20:23:43|28.5 18.1 8.63|   0     0 |5642M  120G 7812k 97.3M
18-08 20:23:45|27.8 18.1 8.69|   0     0 |5813M  120G 7812k 97.3M
18-08 20:23:47|27.8 18.1 8.69|   0    10k|5986M  120G 7820k 97.3M
18-08 20:23:49|27.8 18.1 8.69|   0     0 |6157M  120G 7820k 97.3M
